종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"003920","남양유업","KOSPI","음식료품","428000","-500","-0.12","308160000000"
"003925","남양유업우","KOSPI","음식료품","217500","500","0.23","36248985000"
"025860","남해화학","KOSPI","화학","11950","550","4.82","593662173850"
"005720","넥센","KOSPI","화학","4900","-140","-2.78","262365487300"
"005725","넥센우","KOSPI","화학","3515","0","0.00","12656109000"
"002350","넥센타이어","KOSPI","화학","7500","-270","-3.47","732509077500"
"002355","넥센타이어1우B","KOSPI","화학","3440","-100","-2.82","22360000000"
"003580","넥스트사이언스","KOSPI","광업","28000","-1250","-4.27","1166643436000"
"251270","넷마블","KOSPI","서비스업","115000","-3000","-2.54","9884652730000"
"090350","노루페인트","KOSPI","화학","9990","-410","-3.94","199800000000"
"090355","노루페인트우","KOSPI","화학","19750","-650","-3.19","9146738500"
"000320","노루홀딩스","KOSPI","기타금융","12300","-150","-1.20","163481157300"
"000325","노루홀딩스우","KOSPI","기타금융","43050","-1850","-4.12","7975012500"
"006280","녹십자","KOSPI","의약품","324000","-7500","-2.26","3786438312000"
"005250","녹십자홀딩스","KOSPI","서비스업","30550","-1000","-3.17","1436711815500"
"005257","녹십자홀딩스2우","KOSPI","서비스업","73600","-1800","-2.39","62264864000"
"004370","농심","KOSPI","음식료품","281500","-1000","-0.35","1712263723000"
"072710","농심홀딩스","KOSPI","기타금융","74000","0","0.00","343196460000"
"058730","다스코","KOSPI","기계","5410","-110","-1.99","90571574510"
"023590","다우기술","KOSPI","서비스업","23800","-700","-2.86","1067825484600"
"145210","다이나믹디자인","KOSPI","기계","510","-21","-3.95","80727515460"
"019680","대교","KOSPI","서비스업","4295","-110","-2.50","363798740750"
"019685","대교우B","KOSPI","서비스업","3405","-25","-0.73","66148900950"
"006370","대구백화점","KOSPI","유통업","10500","-500","-4.55","113626915500"
"008060","대덕","KOSPI","기타금융","7040","-60","-0.85","238586656000"
"00806K","대덕1우","KOSPI","기타금융","10450","50","0.48","12669130650"
"353200","대덕전자","KOSPI","전기전자","16400","-350","-2.09","810437570000"
"35320K","대덕전자1우","KOSPI","전기전자","13300","-400","-2.92","27870402700"
"000490","대동","KOSPI","기계","10050","-250","-2.43","238468510500"
"008110","대동전자","KOSPI","전기전자","7790","60","0.78","81720582130"
"005750","대림B&Co","KOSPI","비금속광물","7250","50","0.69","120873740000"
"006570","대림통상","KOSPI","기계","3740","-30","-0.80","56941500000"
"001680","대상","KOSPI","음식료품","23700","-600","-2.47","821158192500"
"001685","대상우","KOSPI","음식료품","18300","-400","-2.14","25075080900"
"084690","대상홀딩스","KOSPI","기타금융","9960","-290","-2.83","360676878480"
"084695","대상홀딩스우","KOSPI","기타금융","11150","-300","-2.62","10185324300"
"128820","대성산업","KOSPI","유통업","5120","-20","-0.39","231605647360"
"117580","대성에너지","KOSPI","전기가스업","10600","-800","-7.02","291500000000"
"016710","대성홀딩스","KOSPI","서비스업","41600","-50","-0.12","669321494400"
"003540","대신증권","KOSPI","증권","20100","-600","-2.90","1020545340000"
"003547","대신증권2우B","KOSPI","증권","17400","-350","-1.97","174000000000"
"003545","대신증권우","KOSPI","증권","18150","-350","-1.89","471900000000"
"009190","대양금속","KOSPI","철강금속","5020","-200","-3.83","156072291960"
"014160","대영포장","KOSPI","종이목재","2355","-105","-4.27","255269162895"
"047040","대우건설","KOSPI","건설업","6590","-160","-2.37","2738953184420"
"009320","대우부품","KOSPI","운수장비","2340","-65","-2.70","111492517500"
"042660","대우조선해양","KOSPI","운수장비","26350","-550","-2.04","2827109128150"
"003090","대웅","KOSPI","기타금융","32400","-850","-2.56","1883800152000"
"069620","대웅제약","KOSPI","의약품","143000","-2500","-1.72","1656880225000"
"000430","대원강업","KOSPI","운수장비","4000","-115","-2.79","248000000000"
"006340","대원전선","KOSPI","전기전자","1965","-80","-3.91","139548340155"
"006345","대원전선우","KOSPI","전기전자","3505","-150","-4.10","9187306000"
"003220","대원제약","KOSPI","의약품","18150","-350","-1.89","385230537450"
"024890","대원화성","KOSPI","화학","4880","-850","-14.83","201295861760"
"002880","대유에이텍","KOSPI","운수장비","1625","-145","-8.19","181775062625"
"000300","대유플러스","KOSPI","전기전자","1375","-175","-11.29","166373314250"
"012800","대창","KOSPI","철강금속","2030","-80","-3.79","185015212970"
"015230","대창단조","KOSPI","운수장비","7350","-220","-2.91","105002945250"
"001070","대한방직","KOSPI","섬유의복","43600","150","0.35","231080000000"
"006650","대한유화","KOSPI","화학","214500","-500","-0.23","1394250000000"
"001440","대한전선","KOSPI","전기전자","2280","-115","-4.80","1952758460520"
"084010","대한제강","KOSPI","철강금속","20550","-100","-0.48","506490383700"
"001790","대한제당","KOSPI","음식료품","3090","-170","-5.21","277162432200"
"001795","대한제당우","KOSPI","음식료품","3310","-150","-4.34","21457935600"
"001130","대한제분","KOSPI","음식료품","158500","-4000","-2.46","267865000000"
"003490","대한항공","KOSPI","운수창고업","33650","-50","-0.15","11704170761250"
"003495","대한항공우","KOSPI","운수창고업","40400","-300","-0.74","44876077600"
"005880","대한해운","KOSPI","운수창고업","3000","90","3.09","957532380000"
"003830","대한화섬","KOSPI","화학","144500","3500","2.48","191896000000"
"016090","대현","KOSPI","섬유의복","2970","-215","-6.75","131518460700"
"069460","대호에이엘","KOSPI","철강금속","4100","40","0.99","200889733600"
"192080","더블유게임즈","KOSPI","서비스업","60900","-2100","-3.33","1119007171800"
"012510","더존비즈온","KOSPI","서비스업","93000","-3100","-3.23","2821681473000"
"004830","덕성","KOSPI","화학","16000","100","0.63","250880000000"
"004835","덕성우","KOSPI","화학","21500","-200","-0.92","29928000000"
"024900","덕양산업","KOSPI","운수장비","3090","-15","-0.48","100625788200"
"145720","덴티움","KOSPI","의료정밀","74500","-2000","-2.61","824627835000"
"002150","도화엔지니어링","KOSPI","서비스업","8030","-160","-1.95","270771600000"
"001230","동국제강","KOSPI","철강금속","17650","-700","-3.81","1684387808050"
"023450","동남합성","KOSPI","화학","60100","-5000","-7.68","216961000000"
"004140","동방","KOSPI","운수창고업","4060","20","0.50","162285369960"
"007590","동방아그로","KOSPI","화학","7300","-130","-1.75","99408312100"
"005960","동부건설","KOSPI","건설업","14800","-350","-2.31","336429589200"
"005965","동부건설우","KOSPI","건설업","44700","400","0.90","10090220400"
"026960","동서","KOSPI","유통업","28750","-450","-1.54","2866375000000"
"002210","동성제약","KOSPI","의약품","9790","-130","-1.31","255528496300"
"102260","동성케미컬","KOSPI","서비스업","5680","-70","-1.22","282237655040"
"000640","동아쏘시오홀딩스","KOSPI","기타금융","112500","-4000","-3.43","714094425000"
"170900","동아에스티","KOSPI","의약품","74500","-700","-0.93","629068166000"
"028100","동아지질","KOSPI","건설업","19100","-450","-2.30","219650000000"
"282690","동아타이어","KOSPI","화학","12350","-150","-1.20","169602735250"
"001520","동양","KOSPI","비금속광물","1545","-40","-2.52","368766877335"
"001527","동양2우B","KOSPI","비금속광물","15200","-500","-3.18","4690248800"
"001529","동양3우B","KOSPI","비금속광물","33800","-1100","-3.15","3032603600"
"084670","동양고속","KOSPI","운수창고업","22000","-250","-1.12","63702518000"
