회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),부채비율(IFRS),타인자본구성비율(IFRS),자기자본구성비율(IFRS),매출액증가율(IFRS),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),경상연구개발비(IFRS)(천원),광고 및 판매촉진비(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),* (정상)영업손익(계산수치)(IFRS)(천원)
에스케이오션플랜트(주),100090,2014/12,246431761,445.55,81.67,18.33,17.37,15030496,0,0,10435339,10435339
에스케이증권(주),001510,2014/12,3683560689,838.13,89.34,10.66,0,307572569,0,0,0,10977457
에스케이텔레콤(주),017670,2014/12,22712462000,67.72,40.38,59.62,1.18,3221433000,272330000,213605000,1737160000,1737160000
에스케이하이닉스(주),000660,2014/12,25348900000,43.42,30.27,69.73,21.57,5100398000,0,0,5047353000,5047353000
에쓰-오일(주),010950,2014/12,10249414000,108.99,52.15,47.85,-8.35,879212000,0,11252000,-289704000,-289704000
에쓰씨엔지니어링(주),023960,2014/12,84624647,100.05,50.01,49.99,-36.43,-6104455,2512,0,-11789144,-11789144
에어부산(주),298690,2014/12,,,,,,,,,,
에이치디씨(주),012630,2014/12,4954688148,114.32,53.34,46.66,9.55,442731064,0,9792000,155381916,155381916
에이치디씨랩스(주),039570,2014/12,124476330,116.82,53.88,46.12,6.42,3923609,0,0,7447462,7447462
에이치디씨현대이피(주),089470,2014/12,479764283,198.66,66.52,33.48,0.28,16904825,0,0,33549969,33549969
에이치디한국조선해양(주),009540,2014/12,31999358865,132.33,56.96,43.04,-3.37,1271995306,0,0,-1923250513,-1923250513
에이치디현대인프라코어(주),042670,2014/12,7209203069,181,64.41,35.59,9.65,-78180283,0,0,94335699,94335699
에이치에스디엔진(주),082740,2014/12,1469042556,127.4,56.02,43.98,19.47,-82341543,0,0,-38410307,-38410307
에이치엘디앤아이한라(주),014790,2014/12,1514163966,357.83,78.16,21.84,-3.93,66783339,0,43886277,11005473,11005473
에이치엘만도(주),204320,2014/12,2695847547,,,,,88559707,0,0,12523229,12523229
에이치엘비글로벌(주),003580,2014/12,46518700,73.03,42.21,57.79,21.08,1894388,0,0,770802,770802
에이치엘홀딩스(주),060980,2014/12,1247554064,48.71,32.75,67.25,-99.7,151395876,0,324605,1861125,1861125
에이치엠엠(주),011200,2014/12,6476768000,897.17,89.97,10.03,-9.22,-17747000,0,0,-258436000,-258436000
에이케이홀딩스(주),006840,2014/12,490889041,8.83,8.11,91.89,78.38,8761201,0,2802127,10836072,10836072
엔에이치엔(주),181710,2014/12,1172524857,6.85,6.41,93.59,0,-15272506,0,15524047,16629255,16629255
