회사명,거래소코드,회계년도,[공통]자산(*)(IFRS),[공통]   배당금(*)(IFRS),[공통]부채비율(IFRS),[공통]자기자본구성비율(IFRS),[공통]매출액증가율(IFRS),[공통]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS),[공통]매출액(요약)
(주)금양,001570,2011/12,124086392,840229,188.41,34.67,11.24,1114958,1.2,0.54,100919
(주)금호에이치티,214330,2011/12,,,,,,,,,85311
(주)까뮤이앤씨,013700,2011/12,248885092,0,440.08,18.52,-58.95,-20322130,0.63,0.19,90048
(주)나이스홀딩스,034310,2011/12,329687222,1968365,27.9,78.18,98.29,4364308,0.96,0.64,27907
(주)남선알미늄,008350,2011/12,224292636,0,413.17,19.49,11.64,-2094516,3.49,1.17,302411
(주)남성,004270,2011/12,185361070,838922,130.41,43.4,-15.71,197740,0.4,0.27,55212
(주)넥센,005720,2011/12,428934662,1074103,66.15,60.19,-3.24,17008153,1.07,0.67,239884
(주)노루페인트,090350,2011/12,473071190,3069469,116.11,46.27,19.63,23786392,0.39,0.24,360301
(주)노루홀딩스,000320,2011/12,253906367,4169740,37.02,72.98,3.22,4414019,0.67,0.4,24611
(주)녹십자,006280,2011/12,814582371,15166000,31.61,75.98,-11.65,53233256,3.22,1.95,698866
(주)녹십자홀딩스,005250,2011/12,880446935,10954000,71.74,58.23,5.12,8858618,15.07,1.15,34013
(주)농심,004370,2011/12,2170397253,23130504,46.81,68.11,3.98,112393944,1.18,0.85,1970686
(주)농심홀딩스,072710,2011/12,570464078,9275530,12.06,89.24,22.21,14359491,0.6,0.44,19810
(주)다우기술,023590,2011/12,581257334,5549890,37.83,72.55,8.04,17163938,1.38,0.81,167579
(주)다이나믹디자인,145210,2011/12,181460933,0,120.26,45.4,27.13,28607334,0,0,127684
(주)대교,019680,2011/12,829834807,14233557,28.73,77.68,3.31,41760421,1.33,0.89,818474
(주)대구백화점,006370,2011/03,504984223,3159277,32.86,75.27,9.28,42424149,0.4,0.27,179115
(주)대덕,008060,2011/12,512463968,12493527,32.99,75.19,23.55,82291490,1.64,0.79,655724
(주)대동,000490,2011/12,469760509,1036411,121.71,45.1,14.08,30245296,0.75,0.38,503098
(주)대양금속,009190,2011/12,216928733,0,540.67,15.61,-32.09,7941415,2.56,1.2,146018
(주)대우건설,047040,2011/12,8984781744,0,167.37,37.4,4.66,-61856669,1.98,1,7031864
(주)대웅,003090,2011/12,288431000,4498737,7.18,93.3,0,8715145,0.79,0.56,45481
(주)대웅제약,069620,2011/12,493208780,7782714,37.33,72.82,0,80115580,1.59,0.86,706643
(주)대유에이텍,002880,2011/12,246556552,1276716,280.7,26.27,60.69,-21918663,3.91,1.05,402877
(주)대유플러스,000300,2011/12,250262905,1063455,191.53,34.3,33.38,8963713,2.55,0.86,269816
(주)대창,012800,2011/12,467584792,0,167.07,37.44,7.08,8679416,1.43,0.52,847602
(주)대한항공,003490,2011/12,20222503363,0,824.92,10.81,4.67,1820213439,3.1,1.5,11805282
(주)대현,016090,2011/12,173743262,974211,81.65,55.05,6.03,-2585299,2.03,0.49,196210
(주)대호에이엘,069460,2011/12,124276183,0,190.4,34.44,3.06,8625782,3.02,1.27,172104
(주)더메디팜,118000,2011/12,58089712,0,250.91,28.5,15.04,1267777,4.23,1.37,34386
(주)더존비즈온,012510,2011/12,165343120,0,137.43,42.12,-4.25,28768811,9.47,2.9,112382
(주)덕성,004830,2011/12,83985122,316589,49.31,66.97,-16.26,-905584,1.26,0.45,80029
(주)덴티움,145720,2011/12,81600885,0,120.8,45.29,29.75,3268247,0,0,68380
(주)도화엔지니어링,002150,2011/12,371823838,2488277,64.7,60.72,-12.39,-1375422,1.59,1.01,282097
(주)동남합성,023450,2011/12,62255155,203512,40.66,71.09,19.76,-4105945,1.32,0.44,59785
(주)동방,004140,2011/12,496216353,569315,261.16,27.69,8.99,34171405,0.89,0.32,472872
(주)동방아그로,007590,2011/12,149311372,2294514,32.73,75.34,2.11,15090082,0.92,0.77,104135
(주)동서,026960,2011/12,861895481,39657492,12.26,89.08,16.51,94756946,0,0,407146
(주)동성케미컬,102260,2011/12,183396990,0,41.46,70.69,41.45,1111591,2.3,0.32,12066
(주)동아지질,028100,2011/12,199886907,1977500,57.63,63.44,-19.74,-10213610,1.58,0.84,251872
(주)동양,001520,2011/12,1776093594,0,633.72,13.63,29.22,-97654036,3.51,0.9,877038
(주)동양고속,084670,2011/12,243463463,2959998,130.77,43.33,3.32,17106592,0.55,0.35,113117
(주)동원에프앤비,049770,2011/12,687821589,9647810,83.94,54.37,9.49,-11955456,0.83,0.45,1099095
(주)두산,000150,2011/12,3177644299,54471283,61.46,61.94,37.29,183521508,2.79,1.65,1930096
(주)두올,016740,2011/12,,,,,,,,,47420
(주)드림텍,192650,2011/12,112288795,2000000,113.9,46.75,33.03,20607280,0,0,308593
(주)디비아이엔씨,012030,2011/12,664749627,1213797,176.55,36.16,167.4,-3897300,0.92,0.38,511012
(주)디아이,003160,2011/12,141656545,0,36.29,73.37,-29.19,-4378167,0.75,0.33,45263
(주)디아이씨,092200,2011/12,397603188,1085000,191.53,34.3,27.02,-8278983,1.77,0.88,323533
(주)디알비동일,004840,2011/12,393174353,1123103,88.27,53.12,24.35,24209057,1.22,0.47,338847
(주)디엔오토모티브,007340,2011/12,598676699,2070224,33.01,75.18,12.63,10750390,0.64,0.43,377329
(주)디지비금융지주,139130,2011/12,2215864948,46919000,,,,-3414602,,,57868
(주)락앤락,115390,2011/12,626121567,8800000,19.78,83.49,-5.94,31786563,5.53,3.05,214466
(주)마니커,027740,2011/12,241508743,0,186.66,34.88,5.98,18896452,0.88,0.5,313094
(주)메리츠금융지주,138040,2011/03,378703874,0,,,,-127452,,,1520
(주)메타랩스,090370,2011/12,159040186,390882,123.24,44.79,4.53,-3367419,1.07,0.58,130127
(주)모나리자,012690,2011/12,59334257,1352471,45.41,68.77,3.72,9375747,3.49,0.59,121931
(주)모나미,005360,2011/12,173582830,688832,201.3,33.19,-7.98,-443527,1.19,0.31,202213
(주)모토닉,009680,2011/12,374105347,5653695,15.5,86.58,-12.46,-8365947,1.2,0.66,237739
(주)무학,033920,2011/12,324149166,1338685,41.12,70.86,22.8,65461514,1.63,0.83,195681
(주)미래아이앤지,007120,2011/12,40419986,0,69.56,58.97,70.61,2933913,0.98,0.44,21543
(주)방림,003610,2011/09,290251205,1176336,61.11,62.07,17.77,-32219860,0.33,0.23,229572
(주)백산,035150,2011/12,144982969,1888000,85.34,53.96,17.14,10545262,1.8,0.71,145779
(주)벽산,007210,2011/12,285722663,0,86.61,53.59,1.57,13769543,1.08,0.74,252816
(주)보락,002760,2011/12,46455549,0,26.03,79.35,9,784278,1.1,0.64,25277
(주)보령,003850,2011/12,262386266,648174,90.18,52.58,2.34,9185916,1.92,0.72,308006
(주)비비안,002070,2011/12,193225448,1980174,29.2,77.4,8.97,-5648140,0.5,0.33,188072
(주)비상교육,100220,2011/12,170806016,2502480,28.33,77.92,15.23,8838353,1.3,0.57,111835
