,업종명,평가연도,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,현금흐름(CF),PBR,ESG,E,S,G,배당지급(DV)
텔코웨어,서비스업,2013,127430930000.0,32.07,75.72,5.63,0.4976219593772805,1.28,B이하,B,B이하,B이하,3657000.0
티에이치엔,전기전자,2013,205317444000.0,933.43,9.68,38.4,-0.09177036815419015,0.71,B이하,C,B이하,B이하,565000.0
티웨이홀딩스,비금속광물,2013,74942426000.0,160.85,38.34,0.0,0.6160602086438152,1.135,B이하,D,B이하,B이하,0.0
파미셀,의약품,2013,99368849000.0,20.56,82.94,200.63,-0.10866527856392011,5.055,B이하,C,B이하,B이하,0.0
팜스코,음식료품,2013,564784427000.0,138.01,42.01,12.17,0.014794457718895093,1.025,B이하,C,B이하,B이하,0.0
퍼스텍,기계,2013,147578857000.0,113.74,46.79,18.91,-0.0034666156216986346,1.785,B이하,B,B이하,B이하,1165000.0
퍼시스,기타제조업,2013,348668177000.0,12.73,88.71,-2.19,0.11741432921351938,1.095,B이하,B,B이하,B+,6628000.0
페이퍼코리아,종이목재,2013,453347281000.0,301.71,24.89,6.18,-0.023528866948957877,0.915,B이하,C,B이하,B이하,0.0
평화산업,운수장비,2013,68160050000.0,270.95,26.96,4.82,0.0495517395050358,1.87,B이하,B,B이하,B이하,150000.0
평화홀딩스,서비스업,2013,563167943000.0,232.33,30.09,-0.05,2.6241342832469776,0.365,B이하,B,B이하,B이하,1384000.0
풍산,철강금속,2013,2684089621000.0,170.47,36.97,4.2,0.03156479847531512,0.77,B+,B+,B이하,B+,12606000.0
풍산홀딩스,서비스업,2013,631124272000.0,20.86,82.74,20.73,0.20863523348570404,0.51,B이하,B,B이하,B이하,6492000.0
하나금융지주,기타금융,2013,295188639000000.0,1313.09,7.08,-9.66,42.570010135515595,0.77,A,A+,B+,B+,72474000.0
하나투어,서비스업,2013,376496384000.0,95.45,51.16,14.55,0.15421101620306588,5.075,B이하,B,B이하,B이하,6805000.0
하이스틸,철강금속,2013,249462910000.0,88.8,52.97,-33.53,0.02997173248605619,0.385,B이하,B,B이하,B이하,200000.0
하이트진로,음식료품,2013,3553146711000.0,156.89,38.93,-6.74,0.15104522151506258,1.78,B+,B,B+,B+,75279000.0
하이트진로홀딩스,서비스업,2013,4262180556000.0,244.19,29.05,-6.67,4.45722648737693,0.385,B이하,B+,B이하,B이하,7660000.0
한국가스공사,전기가스업,2013,43666375501000.0,388.83,20.46,8.65,0.03632588997689445,0.63,B+,B+,A,B+,0.0
한국공항,운수창고업,2013,371858216000.0,52.58,65.54,-1.06,0.03942703257671141,0.32,B이하,C,B+,B이하,1529000.0
한국내화,비금속광물,2013,197446456000.0,104.22,48.97,5.87,0.04373621469434211,0.89,B이하,B,B이하,B이하,1063000.0
한국쉘석유,화학,2013,122825707000.0,36.42,73.3,-11.39,0.15293166989520096,7.715,B+,B+,B+,B+,23400000.0
한국전자홀딩스,서비스업,2013,234855920000.0,93.2,51.76,-3.39,-0.32273762431556596,0.205,B이하,C,B이하,B이하,0.0
한국종합기술,서비스업,2013,207814312000.0,68.95,59.19,-5.39,0.012415404136382507,0.58,B이하,B,B이하,B이하,1095000.0
한국주강,기계,2013,78185339000.0,7.38,93.13,-25.08,-0.15323152976037838,0.61,B이하,C,B이하,B이하,0.0
한국철강,철강금속,2013,907187123000.0,32.1,75.7,-16.81,0.06391144153667781,0.36,B+,B+,B이하,B+,8286000.0
한국카본,기계,2013,296878102000.0,26.87,78.82,47.49,0.27062996212594165,1.23,B이하,B,B이하,B이하,3544000.0
한국콜마홀딩스,서비스업,2013,266882024000.0,44.88,69.02,-67.14,4.203024171270719,1.905,B이하,C,B이하,B이하,1059000.0
한국화장품,유통업,2013,108902651000.0,355.77,21.94,-6.45,-0.2688123846798994,1.54,B이하,B,B이하,B이하,0.0
한국화장품제조,화학,2013,40396297000.0,58.76,62.99,-0.5,-0.09814116285796934,0.745,B이하,C,B이하,B이하,0.0
한농화성,화학,2013,130914512000.0,62.06,61.7,6.24,0.08416677437325905,0.8799999999999999,B이하,B,B이하,B이하,1224000.0
한독,의약품,2013,473529212000.0,60.91,62.15,4.22,0.028294953893442623,0.815,B+,B+,B이하,B+,2320000.0
한미반도체,기계,2013,240728439000.0,31.75,75.9,10.47,0.10801406372847816,1.495,B이하,B+,B이하,B이하,11774000.0
한미사이언스,서비스업,2013,579822998000.0,41.74,70.55,992.19,-0.010414655784244145,1.6099999999999999,B이하,B,B이하,B이하,0.0
한미약품,의약품,2013,880869229000.0,90.29,52.55,8.33,0.1528040006610313,4.515,B+,B,B+,B+,0.0
한샘,유통업,2013,506202072000.0,91.54,52.21,28.56,0.08858424114866971,3.33,B이하,B+,B이하,B이하,12656000.0
한섬,섬유의복,2013,1002393310000.0,26.04,79.34,-5.15,0.06866651606989996,1.01,B이하,B,B이하,B이하,6591000.0
한성기업,음식료품,2013,209621483000.0,206.89,32.59,3.91,-0.010387055958326431,0.6699999999999999,B이하,C,B이하,B이하,0.0
한세실업,섬유의복,2013,682383723000.0,150.79,39.87,9.63,0.02305340648396035,2.37,B이하,B,B이하,B이하,6000000.0
한세예스24홀딩스,서비스업,2013,873460346000.0,134.85,42.58,6.79,3.9589601226993865,2.285,B이하,B,B이하,B이하,3200000.0
한솔케미칼,화학,2013,427996740000.0,115.64,46.37,-0.57,0.16682332076447545,1.72,B이하,C,B이하,B+,5544000.0
한솔테크닉스,전기전자,2013,422296680000.0,147.93,40.33,-8.56,-0.024057342496955125,1.9249999999999998,B이하,B,B이하,B이하,0.0
한솔홈데코,종이목재,2013,280380827000.0,125.56,44.33,23.65,0.02805045051976474,0.865,B이하,C,B이하,B+,0.0
한신공영,건설업,2013,1528677944000.0,365.55,21.48,49.62,0.06028828827528784,0.335,B이하,B,B이하,B이하,940000.0
한양증권,증권,2013,570906208000.0,117.1,46.06,-11.87,0.2646498099507106,0.33499999999999996,B이하,B+,B이하,B이하,3324000.0
한올바이오파마,의약품,2013,97851602000.0,64.11,60.94,-2.37,-0.10478247811447812,7.449999999999999,B이하,B,B이하,B이하,0.0
한익스프레스,운수창고업,2013,85379983000.0,206.51,32.63,22.09,-0.0003201919058741209,1.01,B이하,C,B이하,B이하,0.0
한일철강,철강금속,2013,315044201000.0,89.21,52.85,-7.02,0.014388752534414684,0.20500000000000002,B이하,C,B이하,B이하,722000.0
한진,운수창고업,2013,1807382069000.0,156.7,38.96,4.33,0.08524853738968177,0.355,B이하,B,B이하,B+,2951000.0
한진중공업홀딩스,서비스업,2013,2531518000000.0,112.87,46.98,5.17,0.7759956421740709,0.22500000000000003,B이하,B+,B이하,B이하,6522000.0
한창,유통업,2013,37693959000.0,69.05,59.15,34.1,-0.2602087603305785,0.855,B이하,C,B이하,B이하,0.0
한창제지,종이목재,2013,158442545000.0,326.82,23.43,11.04,0.06432216375430236,1.065,B이하,B,B이하,B이하,0.0
한화,화학,2013,113322609673000.0,951.62,9.51,236.65,1.1990847716265431,1.06,B이하,D,B이하,B+,27847000.0
한화손해보험,보험,2013,7895496852000.0,1546.75,6.07,11.8,0.11759243055981744,0.77,B이하,B,B이하,B이하,0.0
한화투자증권,증권,2013,7774337651000.0,842.11,10.61,-47.05,-0.6882069821128508,0.47000000000000003,B이하,B+,B이하,B이하,0.0
현대건설,건설업,2013,14666501000000.0,185.66,35.01,3.96,0.011146370649750438,1.56,B+,B+,B+,B+,55732000.0
현대글로비스,운수창고업,2013,5069219085000.0,117.21,46.04,9.49,0.04002943417908083,3.7199999999999998,B+,B+,B+,B이하,56250000.0
현대모비스,운수장비,2013,34430309000000.0,70.5,58.65,11.07,0.1073318070286951,1.83,B+,B+,B+,B+,186349000.0
현대미포조선,운수장비,2013,10227698199000.0,215.57,31.69,-9.73,-0.1874563044874736,0.94,A,B+,A,A,15672000.0
