회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),부채비율(IFRS),타인자본구성비율(IFRS),자기자본구성비율(IFRS),매출액증가율(IFRS),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),경상연구개발비(IFRS)(천원),광고 및 판매촉진비(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),* (정상)영업손익(계산수치)(IFRS)(천원)
교보증권(주),030610,2017/12,6733785466,726.38,87.9,12.1,-2.81,-248141033,0,0,0,90010872
교촌에프앤비(주),339770,2017/12,,,,,,,,,,
국도화학(주),007690,2017/12,651933266,53.45,34.83,65.17,11.62,26943482,0,0,39343984,39343984
국제약품(주),002720,2017/12,131023233,94.75,48.65,51.35,6.35,1245835,0,0,3409552,3409552
그랜드코리아레저(주),114090,2017/12,731904311,37.56,27.31,72.69,-8.56,78449269,0,0,108168511,108168511
그린케미칼(주),083420,2017/12,195270243,77.94,43.8,56.2,4.12,13657591,0,0,3533633,3533633
극동유화(주),014530,2017/12,261352253,76.88,43.46,56.54,54.05,3499597,0,0,12254445,12254445
금강공업(주),014280,2017/12,579579384,125.77,55.71,44.29,5.16,7069683,0,0,39563506,39563506
금호건설(주),002990,2017/12,1194576602,282.86,73.88,26.12,-4.11,74638527,0,0,30731172,30731172
금호석유화학(주),011780,2017/12,3378438939,144.55,59.11,40.89,25.09,319066432,0,0,216351104,216351104
금호전기(주),001210,2017/12,270922660,99.97,49.99,50.01,-9.33,819731,0,0,-1374276,-1374276
금호타이어(주),073240,2017/12,3216711279,181.69,64.5,35.5,-7.48,-7264342,0,43391000,-143014289,-143014289
기신정기(주),092440,2017/03,238290101,5.6,5.3,94.7,-4.84,24326308,0,0,16255903,16255903
기아(주),000270,2017/12,38605013000,74.39,42.66,57.34,1.48,3016336000,0,0,602609000,602609000
깨끗한나라(주),004540,2017/12,566143351,206.81,67.41,32.59,-5.71,-4317460,0,32529738,-26455446,-26455446
남광토건(주),001260,2017/12,166279837,283.93,73.95,26.05,-37.03,1340890,0,0,1829223,1829223
남양유업(주),003920,2017/12,1024257068,15.54,13.45,86.55,-4.89,8446048,0,76508547,1152671,1152671
남해화학(주),025860,2017/12,556938054,32.23,24.37,75.63,2.36,31253187,0,0,28494999,28494999
네이버(주),035420,2017/12,5342354582,35.8,26.36,73.64,17.39,911508643,0,191210612,1178237473,1178237473
넥센타이어(주),002350,2017/12,2292876138,79.25,44.21,55.79,3.16,215954297,0,33246752,152775800,152775800
