,ESG 통합등급,2011_E,2011_S,2011_G,평가연도,업종명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),[공통]   배당금(*)(요약)(IFRS),부채비율(IFRS연결),타인자본구성비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),경상연구개발비(IFRS연결)(천원),광고 및 판매촉진비(IFRS연결)(천원),* (정상)영업손익(보고서기재)(IFRS연결)(천원),* (정상)영업손익(계산수치)(IFRS연결)(천원),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS)
삼화전기,B이하,C,B이하,B이하,2011,전기전자,9470,2011/12,145593871.0,331.0,270.74,73.03,26.97,-8.79,3688220.0,0.0,0.0,-1885985.0,-363270.0,1.79,0.76
상신브레이크,B이하,B,B이하,B이하,2011,운수장비,41650,2011/12,220883454.0,2365.0,169.45,62.89,37.11,19.31,23062343.0,0.0,0.0,13063656.0,12033385.0,1.98,0.95
새론오토모티브,C,C,C,B이하,2011,운수장비,75180,2011/12,181333153.0,3593.0,38.29,27.69,72.31,18.43,20335254.0,0.0,0.0,18255048.0,18186521.0,1.0,0.59
서원,B이하,B,B이하,B이하,2011,철강금속,21050,2011/12,388794060.0,979.0,174.98,63.63,36.37,15.31,-18515559.0,0.0,0.0,8734589.0,8863637.0,1.43,0.72
선도전기,B이하,B,B이하,B이하,2011,전기전자,7610,2011/12,101053375.0,447.0,37.89,27.48,72.52,0.0,2290224.0,0.0,0.0,2059094.0,2059094.0,0.81,0.44
성문전자,B이하,C,B이하,B이하,2011,전기전자,14910,2011/12,55202224.0,371.0,48.93,32.85,67.15,10.33,2029629.0,0.0,0.0,6094462.0,6154024.0,1.64,0.77
성보화학,C,B,C,C,2011,화학,3080,2011/12,,1201.0,,,,,,,,,,0.64,0.47
성신양회,B이하,B+,B이하,B이하,2011,비금속광물,4980,2011/12,1151105428.0,0.0,243.18,70.86,29.14,-6.9,-7066516.0,0.0,0.0,7383346.0,-43277444.0,0.32,0.14
성안,B이하,C,B이하,C,2011,섬유의복,11300,2011/12,307479899.0,0.0,208.84,67.62,32.38,12.63,24216263.0,1072445.0,0.0,19459051.0,21054173.0,0.99,0.26
성창기업지주,B이하,C,B이하,B이하,2011,서비스업,180,2011/12,307997635.0,2888.0,137.15,57.83,42.17,8.1,11965285.0,0.0,466772.0,21832746.0,13060607.0,1.21,0.68
세기상사,C,B,C,C,2011,서비스업,2420,2011/12,52280158.0,0.0,68.76,40.75,59.25,-6.18,-461340.0,0.0,0.0,-381504.0,-388535.0,0.62,0.34
세방,B이하,B,B이하,B이하,2011,운수창고업,4360,2011/12,908627879.0,4052.0,55.72,35.78,64.22,10.62,55576152.0,0.0,0.0,44979795.0,40889790.0,0.89,0.62
세방전지,B이하,B,B이하,B이하,2011,전기전자,4490,2011/12,,4900.0,,,,,,,,,,1.44,0.94
세아홀딩스,B이하,B,B이하,C,2011,서비스업,58650,2011/12,3845130468.0,6998.0,78.62,44.02,55.98,28.13,293435963.0,0.0,0.0,348296074.0,342708593.0,0.84,0.49
세우글로벌,C,B,C,C,2011,유통업,13000,2011/12,31195672.0,0.0,11.84,10.58,89.42,0.0,4599518.0,0.0,150.0,723626.0,723626.0,0.62,0.36
세종공업,B이하,B,B이하,B이하,2011,운수장비,33530,2011/12,637756161.0,4479.0,131.95,56.89,43.11,20.14,-430297.0,0.0,0.0,55572393.0,46650123.0,2.13,0.92
세하,B이하,B,B이하,B이하,2011,종이목재,27970,2011/12,,0.0,,,,,,,,,,3.78,1.38
송원산업,B이하,B,B이하,B이하,2011,화학,4430,2011/12,870166000.0,1440.0,216.4,68.39,31.61,12.92,19725000.0,0.0,0.0,22772000.0,25157000.0,1.96,0.83
수산중공업,B이하,C,B이하,B이하,2011,기계,17550,2011/12,117248095.0,1261.0,66.17,39.82,60.18,15.64,10626098.0,1145407.0,1081772.0,15854258.0,14872001.0,1.69,0.86
신대양제지,B이하,C,B이하,B이하,2011,종이목재,16590,2011/12,421658812.0,1795.0,87.01,46.53,53.47,15.67,24684946.0,0.0,0.0,22656982.0,20681023.0,0.35,0.2
신도리코,B이하,C,B이하,B이하,2011,전기전자,29530,2011/12,980932781.0,27039.0,16.96,14.5,85.5,4.63,91595205.0,0.0,10538487.0,71885213.0,65351110.0,0.75,0.57
신라교역,C,B,C,C,2011,"농업, 임업 및 어업",4970,2011/12,435062940.0,3156.0,26.59,21.0,79.0,7.95,10144536.0,0.0,0.0,29734556.0,22806305.0,0.86,0.55
신성이엔지,B이하,C,B이하,C,2011,기계,11930,2011/12,,0.0,,,,,,,,,,2.66,0.73
신세계,B이하,A,B이하,B이하,2011,유통업,4170,2011/12,4144705507.0,7377.0,90.15,47.41,52.59,16.99,-59800959.0,0.0,139836000.0,267597522.0,254370467.0,3.29,1.22
신세계건설,B이하,B,B이하,B이하,2011,건설업,34300,2011/12,,1146.0,,,,,,,,,,0.42,0.29
신영와코루,B이하,C,B이하,C,2011,섬유의복,5800,2011/09,280438245.0,1350.0,12.42,11.05,88.95,0.87,11746189.0,0.0,0.0,18528805.0,17291638.0,0.43,0.33
신원,B이하,B,B이하,C,2011,섬유의복,9270,2011/12,411181825.0,0.0,111.99,52.83,47.17,6.81,-23686511.0,0.0,0.0,1057846.0,1227739.0,0.57,0.34
신풍제약,B이하,B,B이하,B이하,2011,의약품,19170,2011/12,378499607.0,2917.0,110.44,52.48,47.52,-0.53,28726636.0,6057611.0,1231600.0,38295422.0,38450317.0,10.98,0.76
신흥,B이하,B+,B이하,C,2011,유통업,4080,2011/12,142045998.0,577.0,82.53,45.21,54.79,0.0,7232.0,856417.0,3100456.0,6334694.0,5171588.0,1.36,1.03
쌍방울,B이하,C,B이하,C,2011,섬유의복,102280,2011/12,125765852.0,0.0,70.71,41.42,58.58,12.94,7960541.0,0.0,0.0,8002875.0,8319518.0,2.31,0.63
써니전자,B이하,C,B이하,B이하,2011,전기전자,4770,2011/12,39869427.0,0.0,103.13,50.77,49.23,-32.94,-3089912.0,0.0,0.0,-5163377.0,-4523237.0,0.78,0.32
아남전자,C,B,C,B이하,2011,전기전자,8700,2011/12,133659153.0,0.0,93.4,48.29,51.71,8.3,-13477724.0,447632.0,795001.0,444058.0,-379971.0,0.6,0.33
아모레퍼시픽,A,A,A,A,2011,화학,90430,2011/12,2815427568.0,44888.0,31.67,24.05,75.95,12.43,403013901.0,61529000.0,241512000.0,372850841.0,372850841.0,4.51,3.24
아세아제지,B이하,C,B이하,B이하,2011,종이목재,2310,2011/12,458140729.0,1752.0,107.68,51.85,48.15,15.1,23134953.0,0.0,0.0,10981312.0,7744033.0,0.35,0.22
아시아나항공,B+,B,B+,A,2011,운수창고업,20560,2011/12,5747431446.0,0.0,567.31,85.01,14.99,6.14,641002503.0,0.0,0.0,358257511.0,358257511.0,2.89,1.45
아이에스동서,B이하,C,B이하,B이하,2011,비금속광물,10780,2011/12,973623949.0,5136.0,145.65,59.29,40.71,23.38,-34028204.0,0.0,6840754.0,33120818.0,31470247.0,2.16,0.47
에넥스,B이하,B,B이하,C,2011,기타제조업,11090,2011/12,119599167.0,0.0,163.8,62.09,37.91,12.3,-261106.0,0.0,1260213.0,9030749.0,-2002663.0,0.59,0.34
에스엘,B이하,B,B이하,B이하,2011,운수장비,5850,2011/03,1025741167.0,6773.0,100.98,50.25,49.75,-1.83,54956135.0,0.0,0.0,66440317.0,65572199.0,2.04,0.59
에스원,B+,B+,B+,C,2011,서비스업,12750,2011/12,1057718910.0,42173.0,38.98,28.05,71.95,14.27,207816657.0,0.0,13763994.0,160262543.0,167188188.0,3.57,2.66
에쓰씨엔지니어링,B이하,C,B이하,C,2011,서비스업,23960,2011/12,405239276.0,1018.0,223.22,69.06,30.94,8.27,358123.0,2664424.0,0.0,-20715745.0,-22245102.0,0.66,0.34
에이엔피,C,C,C,B이하,2011,전기전자,15260,2011/12,255683632.0,0.0,297.94,74.87,25.13,23.98,11489495.0,0.0,0.0,6833848.0,9517959.0,1.0,0.33
엔씨소프트,B이하,B+,B이하,C,2011,서비스업,36570,2011/12,1113431660.0,11891.0,28.21,22.0,78.0,-7.7,138554553.0,0.0,0.0,135055846.0,135722444.0,9.08,4.45
엔케이,B이하,C,B이하,B이하,2011,기계,85310,2011/12,440135252.0,1551.0,175.06,63.64,36.36,4.57,-7692853.0,0.0,0.0,17694797.0,13637702.0,3.12,0.76
영보화학,B이하,C,B이하,B이하,2011,화학,14440,2011/12,139042571.0,975.0,60.82,37.82,62.18,0.0,11662517.0,0.0,0.0,9157804.0,9065448.0,1.06,0.49
영원무역,C,B,C,C,2011,유통업,111770,2011/12,844587128.0,8162.0,46.41,31.7,68.3,22.76,141505266.0,0.0,2855390.0,185330969.0,182288463.0,2.82,0.86
영원무역홀딩스,C,B,C,C,2011,서비스업,9970,2011/12,1268634513.0,5398.0,46.68,31.82,68.18,20.82,197433065.0,0.0,26846479.0,292945969.0,292809697.0,2.82,1.25
영진약품,B이하,B,B이하,B이하,2011,의약품,3520,2011/12,,0.0,,,,,,,,,,4.31,1.52
영풍,C,C,C,B이하,2011,철강금속,670,2011/12,2622323750.0,15051.0,36.72,26.86,73.14,16.78,77837575.0,0.0,72786.0,78677237.0,77716878.0,1.68,0.9
영풍제지,C,C,C,B이하,2011,종이목재,6740,2011/12,,462.0,,,,,,,,,,0.41,0.25
영화금속,C,C,C,C,2011,운수장비,12280,2011/12,113212455.0,935.0,208.92,67.63,32.37,16.51,8784224.0,0.0,0.0,10482030.0,9185650.0,0.76,0.47
오뚜기,B이하,C,B이하,C,2011,음식료품,7310,2011/12,989034007.0,8442.0,66.74,40.03,59.97,14.78,91476784.0,0.0,0.0,84844709.0,84295292.0,1.21,0.81
우신시스템,C,C,C,C,2011,기계,17370,2011/12,153971295.0,1328.0,111.59,52.74,47.26,33.25,3310420.0,0.0,0.0,11606588.0,11028158.0,1.02,0.51
웅진씽크빅,B+,B+,B+,B+,2011,서비스업,95720,2011/12,635862354.0,10588.0,116.55,53.82,46.18,0.3,34443037.0,0.0,0.0,43214390.0,47664392.0,3.99,2.65
원림,C,C,C,C,2011,섬유의복,5820,2011/12,,588.0,,,,,,,,,,0.49,0.27
윌비스,B이하,B,B이하,C,2011,유통업,8600,2011/12,258346763.0,0.0,92.98,48.18,51.82,-4.98,8637090.0,0.0,490827.0,8973445.0,10293763.0,1.54,0.22
유니드,B이하,C,B이하,B이하,2011,화학,14830,2011/12,962778158.0,4939.0,102.68,50.66,49.34,18.73,-35204405.0,0.0,0.0,69889178.0,71036571.0,1.28,0.8
유니온,B이하,B,B이하,B이하,2011,비금속광물,910,2011/12,323732609.0,925.0,42.15,29.65,70.35,9.02,7779885.0,0.0,0.0,9802081.0,9374175.0,1.07,0.31
유니퀘스트,C,C,C,C,2011,유통업,77500,2011/12,159106470.0,0.0,55.29,35.61,64.39,2.19,4341021.0,0.0,0.0,7630000.0,8686912.0,0.6,0.34
유성기업,B이하,C,B이하,B이하,2011,운수장비,2920,2011/12,330691056.0,2565.0,65.22,39.48,60.52,21.56,27512269.0,0.0,0.0,14886447.0,14886447.0,0.84,0.34
유엔젤,B이하,C,B이하,C,2011,서비스업,72130,2011/12,91344787.0,1722.0,13.14,11.62,88.38,-8.7,-2444008.0,0.0,3093092.0,1994341.0,1994341.0,0.86,0.48
유유제약,B이하,B,B이하,C,2011,의약품,220,2011/03,91835745.0,600.0,39.07,28.09,71.91,0.0,6531559.0,0.0,4524863.0,2751624.0,1711764.0,1.35,0.65
유한양행,B이하,B,B이하,B이하,2011,의약품,100,2011/12,1314066151.0,13213.0,17.67,15.02,84.98,2.36,72377881.0,0.0,0.0,49035879.0,52731142.0,1.85,1.1
유화증권,B이하,B+,B이하,C,2011,증권,3460,2011/03,,9963.0,,,,,,,,,,0.58,0.44
율촌화학,B이하,B,B이하,C,2011,화학,8730,2011/12,,12400.0,,,,,,,,,,0.82,0.65
이건산업,B이하,C,B이하,B이하,2011,종이목재,8250,2011/12,374226955.0,0.0,202.92,66.99,33.01,0.47,39726339.0,0.0,0.0,12401470.0,12401470.0,0.77,0.37
이구산업,C,C,C,B이하,2011,철강금속,25820,2011/12,,0.0,,,,,,,,,,0.84,0.33
이수페타시스,B이하,C,B이하,B이하,2011,전기전자,7660,2011/12,330050032.0,2850.0,103.35,50.82,49.18,14.73,20304508.0,0.0,0.0,16984091.0,12552003.0,1.8,0.97
이수화학,B이하,B,B이하,B이하,2011,화학,5950,2011/12,1190107022.0,8018.0,160.85,61.66,38.34,18.83,37522984.0,0.0,0.0,74205583.0,85470648.0,0.94,0.43
이스타코,B이하,C,B이하,C,2011,서비스업,15020,2011/12,,0.0,,,,,,,,,,0.56,0.28
이월드,B이하,C,B이하,C,2011,서비스업,84680,2011/12,182119768.0,0.0,79.86,44.4,55.6,0.0,-5769598.0,0.0,463271.0,-1373013.0,-2337020.0,1.38,0.53
이화산업,B이하,C,B이하,B이하,2011,유통업,760,2011/03,278185767.0,0.0,31.88,24.17,75.83,13.19,-6635323.0,0.0,0.0,11282368.0,3055273.0,1.03,0.38
인디에프,B이하,B,B이하,B이하,2011,섬유의복,14990,2011/12,226869416.0,0.0,116.7,53.85,46.15,0.0,-14236099.0,0.0,7139418.0,-19780473.0,-15222277.0,0.61,0.34
인지컨트롤스,C,C,C,B이하,2011,운수장비,23800,2011/12,696904496.0,1452.0,149.3,59.89,40.11,28.71,37077197.0,0.0,0.0,44367167.0,36881562.0,1.29,0.57
인천도시가스,B이하,C,B이하,C,2011,전기가스업,34590,2011/12,,4709.0,,,,,,,,,,0.76,0.61
인팩,B이하,C,B이하,B이하,2011,운수장비,23810,2011/12,133648270.0,1200.0,128.42,56.22,43.78,-12.49,21609526.0,0.0,0.0,11073772.0,10864989.0,1.81,0.71
일성건설,B이하,C,B이하,B이하,2011,건설업,13360,2011/12,259616139.0,1030.0,74.46,42.68,57.32,45.2,-1466537.0,0.0,0.0,6720049.0,7895703.0,0.25,0.15
일성신약,B이하,C,B이하,C,2011,의약품,3120,2011/12,,695.0,,,,,,,,,,0.79,0.51
일신방직,B이하,B,B이하,C,2011,섬유의복,3200,2011/12,753480516.0,2309.0,24.88,19.92,80.08,2.26,-26335862.0,0.0,4163873.0,15284132.0,-3568185.0,0.62,0.36
일신석재,B이하,C,B이하,C,2011,비금속광물,7110,2011/12,,0.0,,,,,,,,,,3.41,0.99
일양약품,B이하,B,B이하,C,2011,의약품,7570,2011/03,,1378.0,,,,,,,,,,3.95,2.01
일정실업,B이하,C,B이하,C,2011,섬유의복,8500,2011/12,66241646.0,1500.0,34.68,25.75,74.25,37.47,-355240.0,0.0,0.0,1487791.0,1040381.0,0.54,0.33
일진전기,B+,B,B+,B+,2011,전기전자,103590,2011/12,768646689.0,2966.0,130.33,56.58,43.42,-2.57,-4835251.0,0.0,0.0,-3434845.0,9626780.0,1.3,0.49
일진홀딩스,B이하,C,C,B이하,2011,서비스업,15860,2011/12,1036430305.0,2099.0,132.15,56.92,43.08,-1.43,39738601.0,0.0,0.0,-745146.0,12546795.0,0.82,0.3
자화전자,B이하,C,B이하,B이하,2011,전기전자,33240,2011/12,236877981.0,3018.0,55.98,35.89,64.11,94.48,22509559.0,0.0,336867.0,20236927.0,18159893.0,1.41,0.66
전방,B이하,C,B이하,C,2011,섬유의복,950,2011/12,519574669.0,0.0,119.64,54.47,45.53,-7.35,-29119567.0,0.0,774238.0,-27503526.0,-24615729.0,0.38,0.19
제일기획,C,B,C,C,2011,서비스업,30000,2011/12,1810592894.0,17506.0,152.24,60.35,39.65,21.27,144587874.0,2059671.0,1562581.0,108629820.0,106514612.0,3.94,2.32
조광페인트,B이하,C,B이하,B이하,2011,화학,4910,2011/12,201751646.0,1890.0,73.76,42.45,57.55,7.86,-3277495.0,0.0,0.0,6033186.0,6405379.0,0.59,0.35
조광피혁,C,C,C,C,2011,기타제조업,4700,2011/12,176728999.0,360.0,32.04,24.27,75.73,0.0,-4892219.0,0.0,0.0,12644064.0,10430578.0,0.85,0.42
조비,B이하,C,B이하,C,2011,화학,1550,2011/12,,0.0,,,,,,,,,,4.99,1.45
조선내화,B이하,C,B이하,C,2011,비금속광물,480,2011/12,1153672463.0,9750.0,85.52,46.1,53.9,9.46,24020759.0,43253379.0,0.0,49066014.0,43797106.0,0.66,0.52
조일알미늄,C,B,C,B이하,2011,철강금속,18470,2011/12,,1392.0,,,,,,,,,,0.55,0.32
조흥,C,B,C,B이하,2011,음식료품,2600,2011/12,,1500.0,,,,,,,,,,0.57,0.35
종근당바이오,C,C,C,B이하,2011,의약품,63160,2011/12,,1795.0,,,,,,,,,,0.93,0.52
주연테크,B이하,B,B이하,C,2011,전기전자,44380,2011/12,,0.0,,,,,,,,,,0.78,0.44
진도,C,B,C,C,2011,유통업,88790,2011/12,180096209.0,3012.0,134.36,57.33,42.67,23.23,-15804113.0,0.0,2363995.0,17582901.0,16869600.0,1.09,0.45
진양산업,C,C,C,C,2011,화학,3780,2011/12,31173990.0,2000.0,27.87,21.8,78.2,0.0,4590646.0,0.0,0.0,5416607.0,5337979.0,1.24,0.76
진양홀딩스,B이하,B,B이하,C,2011,서비스업,100250,2011/12,516628401.0,3074.0,44.38,30.74,69.26,15.85,30250593.0,0.0,0.0,19257809.0,17403932.0,0.65,0.34
진양화학,C,B,C,B이하,2011,화학,51630,2011/12,,900.0,,,,,,,,,,1.36,0.48
진흥기업,B이하,B,B이하,B이하,2011,건설업,2780,2011/12,662747609.0,0.0,0.0,101.63,0.0,-7.34,-59404189.0,0.0,0.0,-176068722.0,-150030150.0,0.0,0.0
참엔지니어링,B이하,B,B이하,C,2011,기계,9310,2011/12,209208583.0,2003.0,102.79,50.69,49.31,1.03,10018344.0,8588689.0,0.0,23244637.0,15815404.0,1.36,0.61
천일고속,C,C,C,C,2011,운수창고업,650,2011/12,,0.0,,,,,,,,,,1.36,0.81
카프로,B이하,B,B이하,B이하,2011,화학,6380,2011/12,,40000.0,,,,,,,,,,3.22,1.53
코리아써키트,B이하,B,B이하,B이하,2011,전기전자,7810,2011/12,419488244.0,0.0,69.04,40.84,59.16,25.95,5079399.0,0.0,64416.0,4875226.0,4875226.0,1.14,0.38
코스모신소재,B이하,B,B이하,C,2011,화학,5070,2011/12,,0.0,,,,,,,,,,1.35,0.65
코스모화학,B이하,B,B이하,B이하,2011,화학,5420,2011/12,,0.0,,,,,,,,,,1.2,0.31
코아스,B이하,C,B이하,B이하,2011,기타제조업,71950,2011/12,,0.0,,,,,,,,,,1.09,0.4
코오롱,B이하,B,B이하,B이하,2011,서비스업,2020,2011/12,3808664515.0,6622.0,282.9,73.88,26.12,115.41,17830371.0,2527129.0,0.0,115433397.0,91218100.0,0.8,0.41
콤텍시스템,B이하,B,B이하,C,2011,서비스업,31820,2011/12,116722640.0,0.0,131.87,56.87,43.13,13.48,4713247.0,0.0,0.0,3837556.0,406180.0,0.84,0.43
키움증권,B이하,B,B이하,C,2011,증권,39490,2011/03,4605545958.0,17680.0,554.07,84.71,15.29,6.8,88390290.0,0.0,0.0,0.0,137009541.0,2.19,1.31
태경산업,B이하,B,B이하,C,2011,화학,15890,2011/12,422190911.0,4384.0,62.46,38.45,61.55,19.5,32449599.0,0.0,0.0,35337852.0,32475607.0,0.97,0.53
태광산업,B이하,B,B이하,B이하,2011,화학,3240,2011/12,3834259530.0,1473.0,49.15,32.95,67.05,21.3,879757332.0,0.0,64262312.0,441890228.0,457701269.0,0.99,0.62
태림포장,C,C,C,B이하,2011,종이목재,11280,2011/12,,1411.0,,,,,,,,,,0.38,0.24
태영건설,C,B+,C,B이하,2011,건설업,9410,2011/12,2936605061.0,6563.0,154.83,60.76,39.24,29.22,212777424.0,44155770.0,0.0,124891220.0,95417165.0,0.85,0.51
태원물산,C,B,C,C,2011,운수장비,1420,2011/12,,699.0,,,,,,,,,,0.64,0.38
태평양물산,B이하,B,B이하,C,2011,섬유의복,7980,2011/12,321869195.0,828.0,195.77,66.19,33.81,0.0,-7509118.0,396289.0,280970.0,14884015.0,15241882.0,0.44,0.23
텔코웨어,B이하,B,B이하,C,2011,서비스업,78000,2011/12,111961617.0,2044.0,25.49,20.31,79.69,11.75,15119279.0,0.0,0.0,4227821.0,4355330.0,1.05,0.77
티에이치엔,B이하,C,B이하,B이하,2011,전기전자,19180,2011/12,138935629.0,777.0,170.24,63.0,37.0,29.85,3627056.0,0.0,0.0,7462333.0,3552315.0,0.83,0.43
파미셀,C,C,C,C,2011,섬유의복,5690,2011/12,101152986.0,0.0,22.14,18.12,81.88,42.47,-16166406.0,366601.0,0.0,-16310406.0,-15379024.0,170.63,9.83
팜스코,B이하,C,B이하,B이하,2011,음식료품,36580,2011/12,496991334.0,0.0,146.66,59.46,40.54,0.53,20579558.0,0.0,0.0,25418853.0,23659944.0,0.89,0.41
퍼스텍,B이하,B,B이하,C,2011,기계,10820,2011/12,116424272.0,0.0,69.69,41.07,58.93,6.51,4661680.0,221404.0,0.0,2601390.0,3204158.0,2.57,1.07
퍼시스,B이하,B,B이하,B이하,2011,기타제조업,16800,2011/12,348015874.0,6857.0,18.75,15.79,84.21,0.0,3391889.0,0.0,0.0,34075079.0,29200415.0,1.45,0.92
페이퍼코리아,B이하,C,B이하,C,2011,종이목재,1020,2011/12,418284547.0,0.0,253.3,71.7,28.3,13.37,-31797733.0,0.0,2115234.0,-14276054.0,-14019635.0,12.34,0.38
평화산업,B이하,B,B이하,B이하,2011,운수장비,90080,2011/12,66945856.0,0.0,235.22,70.17,29.83,0.0,-4835620.0,0.0,0.0,-299906.0,-1835229.0,1.89,0.96
평화홀딩스,B이하,B,B이하,C,2011,서비스업,10770,2011/12,602375346.0,1384.0,243.64,70.9,29.1,8.19,-8912293.0,8513206.0,0.0,396267.0,-13773228.0,0.71,0.35
풍산,B이하,B+,B이하,B+,2011,철강금속,103140,2011/12,2626526476.0,11205.0,178.48,64.09,35.91,6.41,9057730.0,0.0,0.0,123402350.0,98910395.0,1.62,0.69
풍산홀딩스,B이하,B,B이하,C,2011,서비스업,5810,2011/12,581445901.0,5518.0,21.79,17.89,82.11,-43.01,19695472.0,0.0,0.0,57630084.0,29819279.0,0.9,0.47
하나금융지주,B+,A+,B+,B이하,2011,기타금융,86790,2011/12,178228882000.0,72309.0,1102.55,91.68,8.32,-1.76,-6382434000.0,0.0,0.0,4118735000.0,1732446000.0,0.95,0.53
하이스틸,B이하,B,B이하,C,2011,철강금속,71090,2011/12,,204.0,,,,,,,,,,0.71,0.17
하이트진로,C,B,C,B+,2011,음식료품,80,2011/12,3573282814.0,84718.0,151.06,60.17,39.83,28.81,234454128.0,0.0,92356728.0,136770007.0,124992188.0,2.22,1.2
한국가스공사,A,A,A,B+,2011,전기가스업,36460,2011/12,36010498709.0,55183.0,347.67,77.66,22.34,25.3,-469872718.0,39833000.0,10529000.0,1018202986.0,1023175688.0,0.54,0.3
한국공항,B이하,C,B이하,B이하,2011,운수창고업,5430,2011/12,395898225.0,1529.0,43.12,30.13,69.87,9.27,31620486.0,0.0,0.0,27482786.0,27482786.0,0.68,0.39
한국내화,B이하,B,B이하,C,2011,비금속광물,10040,2011/12,,1599.0,,,,,,,,,,0.87,0.57
한국쉘석유,B이하,B,B이하,C,2011,화학,2960,2011/12,,19500.0,,,,,,,,,,5.65,4.3
한국전자홀딩스,B이하,B,B이하,C,2011,서비스업,6200,2011/12,277755785.0,0.0,70.6,41.38,58.62,-8.44,-6896793.0,0.0,0.0,-426378.0,-3299537.0,0.34,0.14
한국주강,C,B,C,C,2011,기계,25890,2011/12,,0.0,,,,,,,,,,0.69,0.42
한국철강,B+,B+,B+,C,2011,철강금속,104700,2011/12,,8286.0,,,,,,,,,,0.52,0.28
한국카본,B이하,B,B이하,B이하,2011,기계,17960,2011/12,276531776.0,2187.0,49.03,32.9,67.1,-8.32,-12247504.0,0.0,0.0,5321416.0,5361405.0,1.27,0.59
한국화장품제조,B이하,C,B이하,C,2011,화학,3350,2011/12,,0.0,,,,,,,,,,0.92,0.38
한농화성,B이하,B,B이하,B이하,2011,화학,11500,2011/12,,1529.0,,,,,,,,,,0.99,0.7
한미반도체,B이하,B+,B이하,C,2011,기계,42700,2011/12,204374193.0,2491.0,20.37,16.92,83.08,-20.78,-7043540.0,0.0,0.0,17585402.0,17014408.0,1.51,0.73
한샘,B+,B,B+,B이하,2011,유통업,9240,2011/12,394729625.0,11265.0,95.0,48.72,51.28,13.69,76856397.0,0.0,0.0,51559703.0,45550172.0,3.11,1.5
한섬,B이하,B,B이하,C,2011,섬유의복,20000,2011/12,794253533.0,10326.0,12.79,11.34,88.66,11.96,57395955.0,0.0,7367631.0,115615408.0,107966114.0,1.33,0.71
한성기업,B이하,C,B이하,C,2011,음식료품,3680,2011/12,165670477.0,931.0,166.77,62.51,37.49,0.0,-1499531.0,0.0,0.0,9400965.0,9400965.0,1.48,0.77
한세실업,B이하,B,B이하,C,2011,섬유의복,105630,2011/12,513994136.0,4000.0,172.43,63.29,36.71,14.75,108990204.0,0.0,582580.0,66955373.0,73027818.0,1.77,1.13
한세예스24홀딩스,C,B,C,C,2011,서비스업,16450,2011/12,693150743.0,2540.0,144.78,59.15,40.85,12.38,119188229.0,0.0,5722788.0,71747111.0,76750744.0,2.67,0.72
한솔케미칼,B이하,B,B이하,B+,2011,화학,14680,2011/12,321824251.0,5044.0,111.37,52.69,47.31,21.64,11366357.0,0.0,0.0,20592113.0,24198582.0,1.86,1.07
한솔테크닉스,B이하,B,B이하,C,2011,전기전자,4710,2011/12,486477959.0,0.0,160.39,61.6,38.4,-46.46,-20687538.0,0.0,0.0,-25642697.0,-29274476.0,3.27,0.85
한솔홈데코,C,C,C,B이하,2011,종이목재,25750,2011/12,262213173.0,0.0,161.3,61.73,38.27,21.88,3667562.0,0.0,1341976.0,9684332.0,3541925.0,0.77,0.39
한신공영,C,B,C,B이하,2011,건설업,4960,2011/12,1290922344.0,1414.0,301.74,75.11,24.89,-17.01,-33018781.0,0.0,0.0,28515599.0,27806308.0,0.45,0.2
한양증권,B+,B+,B+,B이하,2011,증권,1750,2011/03,,9925.0,,,,,,,,,,0.56,0.44
한올바이오파마,B+,B,B+,C,2011,의약품,9420,2011/12,105455816.0,0.0,107.99,51.92,48.08,-17.96,7413981.0,0.0,0.0,-10018172.0,-6604168.0,14.47,7.36
한익스프레스,B이하,B,B이하,B이하,2011,운수창고업,14130,2011/12,83431553.0,0.0,390.54,79.61,20.39,0.0,93743.0,0.0,0.0,8268253.0,8171361.0,2.57,1.6
한일철강,C,C,C,B이하,2011,철강금속,2220,2011/12,377986500.0,0.0,113.79,53.22,46.78,13.49,10293189.0,0.0,0.0,6156020.0,6156020.0,0.24,0.16
한진,B이하,B,B이하,C,2011,운수창고업,2320,2011/12,1793121990.0,4721.0,133.73,57.22,42.78,9.99,72285399.0,0.0,0.0,34957044.0,34593708.0,0.59,0.31
한진중공업홀딩스,B이하,B+,B이하,C,2011,서비스업,3480,2011/12,1980735000.0,6522.0,52.21,34.3,65.7,0.1,-48809000.0,0.0,0.0,34820000.0,29598000.0,0.46,0.18
한창,B이하,C,B이하,C,2011,유통업,5110,2011/12,32875105.0,0.0,61.15,37.95,62.05,0.0,3297570.0,0.0,0.0,-787616.0,-787616.0,1.47,0.45
한창제지,B이하,B,B이하,C,2011,종이목재,9460,2011/12,,0.0,,,,,,,,,,0.78,0.56
한화,B이하,A,B이하,B+,2011,화학,880,2011/12,15029730755.0,31325.0,197.1,66.34,33.66,-15.8,661080178.0,16357000.0,0.0,313591615.0,305129783.0,1.8,0.94
한화손해보험,B이하,B+,B이하,B이하,2011,보험,370,2011/03,5244988326.0,0.0,1418.02,93.41,6.59,0.0,-24460399.0,0.0,0.0,,29351379.0,1.9,1.46
