,거래소코드,회계년도,자산(*)(IFRS연결)(천원),[공통]배당금(*)(요약)(IFRS),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),ESG 통합등급,2011_E,2011_S,2011_G,평가연도,업종명,현금흐름,PBR
오뚜기,7310,2011/12,989034007000.0,8442000000.0,66.74,59.97,14.78,B이하,C,B이하,C,2011,음식료품,0.06045853342586167,1.01
우신시스템,17370,2011/12,153971295000.0,1328000000.0,111.59,47.26,33.25,C,C,C,C,2011,기계,0.02619210380568083,0.765
웅진씽크빅,95720,2011/12,635862354000.0,10588000000.0,116.55,46.18,0.3,B+,B+,B+,B+,2011,서비스업,0.04439193566056825,3.3200000000000003
원림,5820,2011/12,96052278000.0,588000000.0,53.32,65.22,-0.43,C,C,C,C,2011,섬유의복,0.0027712897168734583,0.38
윌비스,8600,2011/12,258346763000.0,0.0,92.98,51.82,-4.98,B이하,B,B이하,C,2011,유통업,0.04231088402715863,0.88
유니드,14830,2011/12,962778158000.0,4939000000.0,102.68,49.34,18.73,B이하,C,B이하,B이하,2011,화학,-0.05656625538075413,1.04
유니온,910,2011/12,323732609000.0,925000000.0,42.15,70.35,9.02,B이하,B,B이하,B이하,2011,비금속광물,0.060333974423600396,0.6900000000000001
유니퀘스트,77500,2011/12,159106470000.0,0.0,55.29,64.39,2.19,C,C,C,C,2011,유통업,0.019464628891449683,0.47
유성기업,2920,2011/12,330691056000.0,2565000000.0,65.22,60.52,21.56,B이하,C,B이하,B이하,2011,운수장비,0.09845642293763152,0.59
유엔젤,72130,2011/12,91344787000.0,1722000000.0,13.14,88.38,-8.7,B이하,C,B이하,C,2011,서비스업,-0.05489069062324537,0.6699999999999999
유유제약,220,2011/03,91835745000.0,600000000.0,39.07,71.91,0.0,B이하,B,B이하,C,2011,의약품,0.12554171872297076,1.0
유한양행,100,2011/12,1314066151000.0,13213000000.0,17.67,84.98,2.36,B이하,B,B이하,B이하,2011,의약품,0.10840659655029866,1.475
유화증권,3460,2011/03,932245703000.0,9963000000.0,104.17,48.98,-24.64,B이하,B+,B이하,C,2011,증권,1.046714704932156,0.51
율촌화학,8730,2011/12,388984274000.0,12400000000.0,32.16,75.67,9.91,B이하,B,B이하,C,2011,화학,-0.0006629070585580203,0.735
이건산업,8250,2011/12,374226955000.0,0.0,202.92,33.01,0.47,B이하,C,B이하,B이하,2011,종이목재,0.274645264991773,0.5700000000000001
이구산업,25820,2011/12,313854138000.0,0.0,153.63,39.43,8.58,C,C,C,B이하,2011,철강금속,-0.1382240954782217,0.585
이수페타시스,7660,2011/12,330050032000.0,2850000000.0,103.35,49.18,14.73,B이하,C,B이하,B이하,2011,전기전자,0.06723614183345034,1.385
이수화학,5950,2011/12,1190107022000.0,8018000000.0,160.85,38.34,18.83,B이하,B,B이하,B이하,2011,화학,0.02229888710541032,0.6849999999999999
이스타코,15020,2011/12,74252153000.0,0.0,89.82,52.68,-5.29,B이하,C,B이하,C,2011,서비스업,0.31860305664610206,0.42000000000000004
이월드,84680,2011/12,182119768000.0,0.0,79.86,55.6,0.0,B이하,C,B이하,C,2011,서비스업,-0.34139633136094677,0.955
이화산업,760,2011/03,278185767000.0,0.0,31.88,75.83,13.19,B이하,C,B이하,B이하,2011,유통업,-0.10206148001168996,0.7050000000000001
인디에프,14990,2011/12,226869416000.0,0.0,116.7,46.15,0.0,B이하,B,B이하,B이하,2011,섬유의복,-0.058102969205966984,0.475
인지컨트롤스,23800,2011/12,696904496000.0,1452000000.0,149.3,40.11,28.71,C,C,C,B이하,2011,운수장비,0.10417313208904273,0.9299999999999999
인천도시가스,34590,2011/12,313768840000.0,4709000000.0,144.45,40.91,8.39,B이하,C,B이하,C,2011,전기가스업,0.033374666759984475,0.685
인팩,23810,2011/12,133648270000.0,1200000000.0,128.42,43.78,-12.49,B이하,C,B이하,B이하,2011,운수장비,0.17540626800977296,1.26
일성건설,13360,2011/12,259616139000.0,1030000000.0,74.46,57.32,45.2,B이하,C,B이하,B이하,2011,건설업,-0.006188207047584487,0.2
일성신약,3120,2011/12,413192112000.0,695000000.0,24.57,80.28,-0.59,B이하,C,B이하,C,2011,의약품,0.12089692339277334,0.65
일신방직,3200,2011/12,753480516000.0,2309000000.0,24.88,80.08,2.26,B이하,B,B이하,C,2011,섬유의복,-0.06928101628122936,0.49
일신석재,7110,2011/12,79468694000.0,0.0,43.59,69.64,27.79,B이하,C,B이하,C,2011,비금속광물,-0.058756894561865884,2.2
일양약품,7570,2011/03,320522794000.0,1378000000.0,155.74,39.1,1.86,B이하,B,B이하,C,2011,의약품,0.13834828320756762,2.98
일정실업,8500,2011/12,66241646000.0,1500000000.0,34.68,74.25,37.47,B이하,C,B이하,C,2011,섬유의복,-0.005576853639774565,0.43500000000000005
일진전기,103590,2011/12,768646689000.0,2966000000.0,130.33,43.42,-2.57,B+,B,B+,B+,2011,전기전자,-0.00475284148155138,0.895
일진홀딩스,15860,2011/12,1036430305000.0,2099000000.0,132.15,43.08,-1.43,B이하,C,C,B이하,2011,서비스업,7.547692497625831,0.5599999999999999
자화전자,33240,2011/12,236877981000.0,3018000000.0,55.98,64.11,94.48,B이하,C,B이하,B이하,2011,전기전자,0.12652928049465992,1.035
전방,950,2011/12,519574669000.0,0.0,119.64,45.53,-7.35,B이하,C,B이하,C,2011,섬유의복,-0.10487075351765218,0.28500000000000003
제일기획,30000,2011/12,1810592894000.0,17506000000.0,152.24,39.65,21.27,C,B,C,C,2011,서비스업,0.20070053135965887,3.13
조광페인트,4910,2011/12,201751646000.0,1890000000.0,73.76,57.55,7.86,B이하,C,B이하,B이하,2011,화학,-0.01993125152031136,0.47
조광피혁,4700,2011/12,176728999000.0,360000000.0,32.04,75.73,0.0,C,C,C,C,2011,기타제조업,-0.026888302023677355,0.635
조비,1550,2011/12,84471791000.0,0.0,666.84,13.04,-16.79,B이하,C,B이하,C,2011,화학,-0.04340594574507618,3.22
조선내화,480,2011/12,1153672463000.0,9750000000.0,85.52,53.9,9.46,B이하,C,B이하,C,2011,비금속광물,0.051597404745436504,0.5900000000000001
