,종목명,2014_E,2014_S,2014_G,2015_E,2015_S,2015_G,Diff_E,Diff_S,Diff_G,업종명,2014_종가,2015_종가,등락률,연도
24,KG케미칼,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,화학,16550,16100,-0.027190332326283987,"14,15년"
25,KISCO홀딩스,2.0,1.5,1.5,3.0,1.5,1.5,1.0,0.0,0.0,철강금속,51500,59500,0.1553398058252427,"14,15년"
26,KPX케미칼,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,화학,59600,56900,-0.04530201342281879,"14,15년"
27,KPX홀딩스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,화학,81800,69500,-0.15036674816625917,"14,15년"
28,KR모터스,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,운수장비,912,1050,0.1513157894736842,"14,15년"
29,KSS해운,3.0,1.5,1.5,2.0,1.5,1.5,-1.0,0.0,0.0,운수창고업,14300,17700,0.23776223776223776,"14,15년"
30,KTcs,2.0,1.5,1.5,3.0,1.5,1.5,1.0,0.0,0.0,서비스업,2965,3600,0.21416526138279932,"14,15년"
31,LF,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,섬유의복,33650,31650,-0.05943536404160475,"14,15년"
32,LG,4.0,3.0,1.5,4.0,3.0,1.5,0.0,0.0,0.0,기타금융,63600,66000,0.03773584905660377,"14,15년"
33,LG디스플레이,3.0,4.0,4.0,3.0,3.0,4.0,0.0,-1.0,0.0,전기전자,31350,21600,-0.31100478468899523,"14,15년"
34,LG생활건강,3.0,4.0,4.0,3.0,5.0,4.0,0.0,1.0,0.0,화학,623000,947000,0.5200642054574639,"14,15년"
35,LG유플러스,4.0,3.0,4.0,3.0,3.0,4.0,-1.0,0.0,0.0,통신업,11000,10950,-0.004545454545454545,"14,15년"
36,LG이노텍,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,전기전자,84500,92700,0.0970414201183432,"14,15년"
37,LG전자,3.0,4.0,5.0,1.0,4.0,4.0,-2.0,0.0,-1.0,전기전자,65300,49100,-0.24808575803981622,"14,15년"
38,LG화학,4.0,4.0,3.0,3.0,3.0,3.0,-1.0,-1.0,0.0,화학,200000,304500,0.5225,"14,15년"
39,LS,3.0,1.5,1.5,2.0,1.5,1.5,-1.0,0.0,0.0,기타금융,59900,38700,-0.35392320534223703,"14,15년"
40,LS네트웍스,2.0,1.5,1.5,,1.5,1.5,,0.0,0.0,유통업,4695,3960,-0.15654952076677317,"14,15년"
41,MH에탄올,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,음식료품,8900,10200,0.14606741573033707,"14,15년"
42,NAVER,4.0,3.0,1.5,3.0,1.5,1.5,-1.0,-1.5,0.0,서비스업,754000,600000,-0.20424403183023873,"14,15년"
43,NICE,2.0,1.5,1.5,3.0,1.5,1.5,1.0,0.0,0.0,서비스업,17700,25450,0.4378531073446328,"14,15년"
44,NI스틸,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,철강금속,2110,2695,0.2772511848341232,"14,15년"
45,OCI,3.0,4.0,3.0,2.0,4.0,1.5,-1.0,0.0,-1.5,화학,92000,82200,-0.10652173913043478,"14,15년"
46,S-Oil,5.0,4.0,5.0,4.0,5.0,4.0,-1.0,1.0,-1.0,화학,40650,68300,0.6801968019680197,"14,15년"
47,SBS,3.0,1.5,1.5,3.0,1.5,1.5,0.0,0.0,0.0,서비스업,27100,38500,0.42066420664206644,"14,15년"
48,SG세계물산,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,유통업,615,1280,1.08130081300813,"14,15년"
49,SH에너지화학,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,화학,1085,1595,0.4700460829493088,"14,15년"
50,SIMPAC,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,철강금속,5900,6440,0.09152542372881356,"14,15년"
51,SK,2.0,4.0,5.0,4.0,4.0,4.0,2.0,0.0,-1.0,기타금융,167000,267000,0.5988023952095808,"14,15년"
52,SKC,3.0,4.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,화학,27500,38450,0.3981818181818182,"14,15년"
53,SK가스,3.0,3.0,1.5,3.0,1.5,1.5,0.0,-1.5,0.0,유통업,139500,85200,-0.38924731182795697,"14,15년"
54,SK네트웍스,3.0,4.0,1.5,3.0,3.0,1.5,0.0,-1.0,0.0,유통업,10950,7090,-0.35251141552511417,"14,15년"
55,SK이노베이션,2.0,4.0,4.0,3.0,4.0,4.0,1.0,0.0,0.0,화학,87500,118500,0.35428571428571426,"14,15년"
56,SK증권,3.0,3.0,1.5,3.0,3.0,1.5,0.0,0.0,0.0,증권,932,1175,0.2607296137339056,"14,15년"
57,SK텔레콤,5.0,3.0,4.0,4.0,4.0,4.0,-1.0,1.0,0.0,통신업,267000,241000,-0.09737827715355805,"14,15년"
58,SK하이닉스,2.0,4.0,3.0,3.0,3.0,3.0,1.0,-1.0,0.0,전기전자,47450,30700,-0.3530031612223393,"14,15년"
59,WISCOM,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,화학,5840,5260,-0.09931506849315068,"14,15년"
60,가온전선,2.0,3.0,1.5,3.0,1.5,1.5,1.0,-1.5,0.0,전기전자,26300,20950,-0.20342205323193915,"14,15년"
61,강원랜드,3.0,4.0,3.0,4.0,3.0,3.0,1.0,-1.0,0.0,서비스업,35000,42300,0.20857142857142857,"14,15년"
62,경농,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,화학,4895,5170,0.056179775280898875,"14,15년"
63,경동나비엔,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,전기전자,29050,37800,0.30120481927710846,"14,15년"
64,경방,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,유통업,191000,192000,0.005235602094240838,"14,15년"
65,경인양행,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,화학,5100,3980,-0.2196078431372549,"14,15년"
66,경인전자,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,전기전자,20250,19600,-0.03209876543209877,"14,15년"
67,계양전기,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,기계,3960,4855,0.22601010101010102,"14,15년"
68,고려산업,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,음식료품,2380,2140,-0.10084033613445378,"14,15년"
69,고려아연,3.0,1.5,3.0,2.0,3.0,3.0,-1.0,1.5,0.0,철강금속,402500,474000,0.17763975155279504,"14,15년"
70,고려제강,2.0,1.5,1.5,2.0,1.5,3.0,0.0,0.0,1.5,철강금속,52100,41250,-0.20825335892514396,"14,15년"
71,광동제약,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,의약품,10350,11650,0.12560386473429952,"14,15년"
72,광명전기,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,전기전자,2395,2495,0.04175365344467641,"14,15년"
73,광전자,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,전기전자,1605,2430,0.514018691588785,"14,15년"
74,광주신세계,2.0,3.0,1.5,3.0,1.5,1.5,1.0,-1.5,0.0,유통업,308000,298500,-0.030844155844155844,"14,15년"
75,교보증권,2.0,1.5,1.5,4.0,3.0,1.5,2.0,1.5,0.0,증권,13450,9850,-0.26765799256505574,"14,15년"
76,국도화학,1.0,1.5,3.0,1.0,1.5,3.0,0.0,0.0,0.0,화학,41450,61400,0.4813027744270205,"14,15년"
77,국동,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,유통업,11500,9600,-0.16521739130434782,"14,15년"
78,국보,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,운수창고업,11900,17950,0.5084033613445378,"14,15년"
79,국제약품,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,의약품,2440,4340,0.7786885245901639,"14,15년"
80,극동유화,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,화학,23850,31000,0.29979035639413,"14,15년"
81,금강공업,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,철강금속,60200,62500,0.03820598006644518,"14,15년"
82,금비,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,비금속광물,34000,70500,1.0735294117647058,"14,15년"
83,금양,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,화학,1485,1875,0.26262626262626265,"14,15년"
84,금호전기,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,전기전자,17050,17550,0.02932551319648094,"14,15년"
85,금호타이어,3.0,3.0,4.0,1.0,3.0,3.0,-2.0,0.0,-1.0,화학,10700,6900,-0.35514018691588783,"14,15년"
86,기신정기,3.0,1.5,1.5,2.0,1.5,1.5,-1.0,0.0,0.0,기계,7430,7530,0.013458950201884253,"14,15년"
87,기업은행,3.0,3.0,3.0,4.0,3.0,1.5,1.0,0.0,-1.5,은행,15650,14000,-0.10543130990415335,"14,15년"
88,깨끗한나라,2.0,1.5,3.0,2.0,1.5,3.0,0.0,0.0,0.0,종이목재,5030,6600,0.3121272365805169,"14,15년"
89,남선알미늄,1.0,1.5,1.5,1.0,3.0,1.5,0.0,1.5,0.0,철강금속,1150,1195,0.0391304347826087,"14,15년"
90,남성,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,유통업,12000,2140,-0.8216666666666667,"14,15년"
91,남양유업,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,음식료품,686000,841000,0.2259475218658892,"14,15년"
92,남해화학,2.0,1.5,3.0,1.0,1.5,3.0,-1.0,0.0,0.0,화학,8440,10050,0.19075829383886256,"14,15년"
93,넥센,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,화학,87000,84600,-0.027586206896551724,"14,15년"
94,넥센타이어,2.0,1.5,3.0,1.0,1.5,3.0,-1.0,0.0,0.0,화학,13100,13200,0.007633587786259542,"14,15년"
