회사명,거래소코드,회계년도,종합등급,환경,사회,지배구조,한국ESG연구소,Moody's,MSCI,S&P
영보화학,14440,2021,B,B,C,B,-,-,-,-
영원무역,111770,2021,B+,B+,B+,B+,B+,-,-,7
영원무역홀딩스,9970,2021,A,B+,B+,A,-,-,-,-
영진약품,3520,2021,B+,B+,A,B+,B+,-,-,6
영풍,670,2021,C,D,C,B+,B,-,-,3
영풍제지,6740,2021,B,B,C,B,-,-,-,-
영화금속,12280,2021,C,C,C,B+,-,-,-,-
영흥,12160,2021,B,C,B,B+,-,-,-,-
예스코홀딩스,15360,2021,B+,B,B+,B+,-,-,-,-
오뚜기,7310,2021,A,B+,A+,B+,A,-,B,16
오리엔트바이오,2630,2021,C,D,C,C,-,-,-,-
오리온,271560,2021,A,A,A,B+,A,-,B,1
오리온홀딩스,1800,2021,A,A,A,A,A,-,-,3
와이투솔루션,11690,2021,D,C,C,D,-,-,-,-
용평리조트,70960,2021,C,C,C,B,-,-,-,-
우리금융지주,316140,2021,A,A+,A+,A,B+,-,AA,78
우리종금,0,2021,B,D,B+,B,-,-,-,4
우성,6980,2021,C,D,C,B+,-,-,-,-
우신시스템,17370,2021,B,C,C,B+,-,-,-,-
우진,105840,2021,B,C,C,B+,-,-,-,-
우진아이엔에스,10400,2021,C,C,C,B+,-,-,-,-
우진플라임,49800,2021,B,B,C,B,-,-,-,-
웅진,16880,2021,B,D,B+,B+,-,-,-,-
웅진씽크빅,95720,2021,B+,B,A,B+,-,-,-,2
원림,5820,2021,C,D,B,B,-,-,-,-
웰바이오텍,10600,2021,B,D,B,B,-,-,-,-
윌비스,8600,2021,C,D,D,B+,-,-,-,-
유나이티드,33270,2021,B,C,B,B+,-,-,-,7
유니드,14830,2021,B+,B,B+,B+,-,-,-,6
유니온,910,2021,B,B,B,B,-,-,-,-
유니온머티리얼,47400,2021,B,B,C,B,-,-,-,-
유니켐,11330,2021,B,C,C,B+,-,-,-,-
유니퀘스트,77500,2021,B,B,C,B+,-,-,-,-
유성기업,2920,2021,C,B,D,C,-,-,-,-
유수홀딩스,700,2021,B+,D,B,A,-,-,-,-
유안타증권,3470,2021,C,D,C,B,-,-,-,5
유엔젤,72130,2021,C,D,C,B,-,-,-,-
유유제약,220,2021,B,D,B,B+,-,-,-,-
유진증권,1200,2021,C,C,C,B,-,-,-,6
유한양행,100,2021,B+,B+,A,B+,A+,-,BBB,13
유화증권,3460,2021,C,D,C,C,-,-,-,-
율촌화학,8730,2021,B,B,B,B+,-,-,-,4
이건산업,8250,2021,C,D,C,B+,-,-,-,-
이구산업,25820,2021,B,B,C,B+,-,-,-,-
이노션,214320,2021,A,B+,A,A,-,-,-,6
이마트,139480,2021,A,A,A,A,B+,-,B,4
이수페타시스,7660,2021,B,B,A,C,-,-,-,14
이수화학,5950,2021,B,B,B+,B,-,-,-,-
이스타코,15020,2021,C,D,C,B,-,-,-,-
이아이디,93230,2021,D,D,C,C,-,-,-,-
이엔플러스,74610,2021,C,D,B,B,-,-,-,-
이연제약,102460,2021,B,D,B,B+,-,-,-,8
이월드,84680,2021,C,D,C,B,-,-,-,-
이화산업,760,2021,C,D,C,B,-,-,-,-
인디에프,14990,2021,C,D,B,B,-,-,-,-
인바이오젠,101140,2021,C,D,C,C,-,-,-,-
인스코비,6490,2021,C,D,C,B,-,-,-,-
인지컨트롤스,23800,2021,C,D,C,B,-,-,-,-
인천도시가스,34590,2021,C,D,C,B,-,-,-,-
인터지스,129260,2021,B,B,C,B+,-,-,-,-
인팩,23810,2021,C,D,C,B+,-,-,-,-
일동제약,249420,2021,A,B+,A,A,-,-,-,-
일동홀딩스,230,2021,A,B+,A,A,-,-,-,-
일성건설,13360,2021,B,B,C,B+,-,-,-,-
일성신약,3120,2021,C,D,C,B+,-,-,-,-
일신방직,3200,2021,B+,B,B,A,-,-,-,-
일신석재,7110,2021,C,D,C,B,-,-,-,3
일양약품,7570,2021,C,D,C,B+,-,-,-,6
일정실업,8500,2021,C,C,C,C,-,-,-,-
일진다이아,81000,2021,C,D,C,B,-,-,-,-
일진디스플,20760,2021,B,B,B,B,-,-,-,-
일진머티리얼즈,20150,2021,C,C,C,B,B,-,CCC,3
일진전기,103590,2021,C,C,C,B,-,-,-,-
일진하이솔루스,0,2021,-,-,-,-,-,-,-,-
일진홀딩스,15860,2021,C,C,C,B,-,-,-,-
잇츠한불,226320,2021,B+,B+,B,B+,-,-,-,4
자이에스앤디,317400,2021,B,C,B,B+,-,-,-,-
자화전자,33240,2021,C,C,C,B+,-,-,-,9
전방,950,2021,C,C,B,B,-,-,-,-
제이에스코퍼레이션,194370,2021,C,D,C,B+,-,-,-,-
제이준코스메틱,25620,2021,C,D,C,B,-,-,-,-
제일기획,30000,2021,B+,C,A,B+,A,-,B,1
제일약품,271980,2021,C,D,B,B,-,-,-,-
제일연마,1560,2021,C,C,C,B+,-,-,-,-
제일파마홀딩스,2620,2021,B,D,B,B,-,-,-,-
제주은행,6220,2021,A,B,A+,A,-,-,-,-
제주항공,89590,2021,B+,B,B+,B+,-,-,-,4
조광페인트,4910,2021,B,B,B+,B,-,-,-,-
조광피혁,4700,2021,C,D,C,B,-,-,-,-
조비,1550,2021,C,D,C,B,-,-,-,-
조선내화,480,2021,B,B,B,B,-,-,-,-
조선선재,120030,2021,C,D,C,B+,-,-,-,-
조일알미늄,18470,2021,B,B,C,B+,-,-,-,-
조흥,2600,2021,C,D,C,B,-,-,-,-
종근당,185750,2021,A,A,A+,B+,A,-,-,8
종근당바이오,63160,2021,B+,B+,A,B+,-,-,-,-
종근당홀딩스,1630,2021,B+,B+,A,B+,-,-,-,9
주연테크,44380,2021,C,C,C,C,-,-,-,-
지누스,13890,2021,C,D,C,B+,B,-,-,2
지엠비코리아,13870,2021,C,C,C,B,-,-,-,-
지역난방공사,71320,2021,A,B+,A+,A,-,-,-,15
지투알,35000,2021,B,D,B,B,-,-,-,-
진도,88790,2021,D,D,D,C,-,-,-,-
진양산업,3780,2021,D,D,C,C,-,-,-,-
진양폴리우레탄,10640,2021,C,D,C,B+,-,-,-,-
진양홀딩스,100250,2021,C,D,C,B,-,-,-,-
진양화학,51630,2021,C,D,C,B,-,-,-,-
진에어,272450,2021,B+,C,A,A,-,-,-,-
진원생명과학,11000,2021,C,D,C,B+,-,-,-,4
진흥기업,2780,2021,C,C,C,B+,-,-,-,-
참엔지니어링,9310,2021,B,D,B,B+,-,-,-,-
천일고속,650,2021,B,C,C,B+,-,-,-,-
청호ICT,0,2021,D,D,C,D,-,-,-,-
체시스,33250,2021,C,D,B,B,-,-,-,-
초록뱀헬스케어,118000,2021,B,D,B,B,-,-,-,-
카카오,35720,2021,A,A,A+,A,A,-,A,54
카카오뱅크,323410,2021,-,-,-,-,B+,-,BB,4
카카오페이,0,2021,-,-,-,-,-,-,-,-
카프로,6380,2021,B,B,C,B+,-,-,-,-
컨버즈,109070,2021,B,B,C,B,-,-,-,-
케이비아이동국실업,1620,2021,C,C,C,C,-,-,-,-
케이씨,29460,2021,B,B,C,B+,-,-,-,9
케이씨씨,2380,2021,B+,B+,A+,B,A,-,B,26
케이씨씨글라스,344820,2021,-,-,-,-,-,-,-,18
케이씨텍,281820,2021,B,B,B,B,-,-,-,-
케이씨티시,9070,2021,B,B,C,B,-,-,-,-
케이카,381970,2021,-,-,-,-,-,-,-,-
케이티,30200,2021,A+,A+,B+,A+,A,-,-,45
케이티스카이라이프,53210,2021,A,B,A,A,-,-,-,10
케이티앤지,33780,2021,A,A,A+,A,S,-,AA,28
코리아써키트,7810,2021,B,B+,C,B+,-,-,-,-
코리안리,3690,2021,B+,B,B+,A,-,-,-,10
코스맥스,192820,2021,A,A,A,B+,A,-,-,5
코스맥스비티아이,44820,2021,B+,A,A,B+,-,-,-,-
코스모신소재,5070,2021,B,B,C,B,-,-,-,-
코스모화학,5420,2021,B,B,C,B,-,-,-,3
코아스,71950,2021,B,C,C,B+,-,-,-,-
코오롱,2020,2021,B,B,B+,B,-,-,-,3
코오롱글로벌,3070,2021,B,C,B,B+,-,-,-,-
코오롱인더,120110,2021,A,B+,A,A,B+,-,-,25
코오롱플라스틱,138490,2021,B+,B,B+,B+,-,-,-,-
코웨이,21240,2021,A,A,A+,B+,A+,-,AA,69
콘텐트리중앙,36420,2021,C,D,B,C,-,-,-,-
콤텍시스템,31820,2021,C,D,B,C,-,-,-,-
쿠쿠홀딩스,192400,2021,B,D,C,B+,B+,-,-,2
쿠쿠홈시스,284740,2021,B,D,C,B+,B,-,-,3
큐로,15590,2021,C,D,C,B,-,-,-,-
크라운제과,264900,2021,B,C,B+,B+,-,-,-,-
크라운해태홀딩스,5740,2021,B,C,B+,B,-,-,-,-
크래프톤,0,2021,-,-,-,-,B+,-,-,3
키다리스튜디오,20120,2021,B,D,B,B,-,-,-,-
키움증권,39490,2021,B,C,A,B,B+,-,-,5
태경비케이,14580,2021,C,C,B,B,-,-,-,-
태경산업,15890,2021,B,C,B,B+,-,-,-,-
태경케미컬,6890,2021,C,D,B,B,-,-,-,-
태광산업,3240,2021,B+,B,A,B+,C,-,-,7
태림포장,11280,2021,C,B,C,C,-,-,-,-
태양금속공업,4100,2021,B,B,C,B,-,-,-,-
태영건설,9410,2021,B+,A,B,B+,-,-,-,10
태원물산,1420,2021,C,C,C,B,-,-,-,-
태평양물산,7980,2021,B,C,B+,B,-,-,-,-
테이팩스,55490,2021,B+,B+,B+,B+,-,-,-,-
텔코웨어,78000,2021,C,D,C,B,-,-,-,-
토니모리,214420,2021,C,D,C,B+,-,-,-,-
티비에이치글로벌,84870,2021,B,D,B+,B+,-,-,-,-
티에이치엔,19180,2021,B,C,B,B+,-,-,-,-
티와이홀딩스,363280,2021,-,-,-,-,-,-,-,-
티웨이항공,91810,2021,B,C,B+,B,-,-,-,-
티웨이홀딩스,4870,2021,C,D,D,B,-,-,-,-
티케이지휴켐스,69260,2021,B+,B,A,B+,A,-,-,6
파미셀,5690,2021,B,C,B,B+,-,-,-,4
팜스코,36580,2021,B+,B+,A,B+,-,-,-,-
팜젠사이언스,4720,2021,C,D,C,C,-,-,-,-
팬오션,28670,2021,B+,B+,D,A,B+,-,B,7
퍼스텍,10820,2021,C,C,C,B,-,-,-,-
퍼시스,16800,2021,B,C,B+,B,-,-,-,-
페이퍼코리아,1020,2021,B,B,C,B,-,-,-,-
평화산업,90080,2021,B,B+,C,B+,-,-,-,-
평화홀딩스,10770,2021,B,B+,C,B+,-,-,-,-
포스코스틸리온,58430,2021,A,A,A+,A,-,-,-,-
포스코인터내셔널,47050,2021,A+,A,A+,A+,A,-,B,34
포스코케미칼,3670,2021,A,A,A+,B+,A+,-,BBB,33
풀무원,17810,2021,A+,A,A+,A+,-,-,-,62
풍산,103140,2021,B+,B,A,A,A,-,-,6
풍산홀딩스,5810,2021,B,D,A,B+,-,-,-,4
플레이그램,9810,2021,C,D,C,C,-,-,-,-
하나금융지주,86790,2021,A,A,A+,A,B+,-,A,79
하나제약,293480,2021,B,D,B,B+,-,-,-,-
하나투어,39130,2021,B+,B,A,B+,-,-,-,10
하이브,352820,2021,-,-,-,-,B+,-,BBB,5
하이스틸,71090,2021,B,C,B,B+,-,-,-,-
하이트론씨스템즈,19490,2021,C,D,C,B+,-,-,-,-
하이트진로,80,2021,B+,B+,A,B,A,-,-,4
하이트진로홀딩스,140,2021,B+,B+,A,B,-,-,-,-
한국가스공사,36460,2021,B+,B+,A,B+,A,-,BB,77
한국공항,5430,2021,B,D,B,B+,-,-,-,-
한국금융지주,71050,2021,B+,C,A,B+,B,-,B,3
한국내화,10040,2021,B,B,B,B,-,-,-,-
한국단자공업,25540,2021,C,C,C,B+,-,-,-,5
한국석유공업,4090,2021,B+,B,B+,B+,-,-,-,-
한국수출포장공업,2200,2021,B,B,C,B+,-,-,-,-
한국쉘석유,2960,2021,B,C,B+,B+,-,-,-,6
한국앤컴퍼니,240,2021,A,B+,A+,B+,A,-,-,35
한국자산신탁,123890,2021,C,C,B+,C,-,-,-,-
한국전력공사,15760,2021,B+,B+,B+,B+,A,-,BB,75
한국전자홀딩스,6200,2021,B,B,B+,B,-,-,-,-
한국조선해양,9540,2021,A,A,B+,A,A,-,B,20
한국종합기술,23350,2021,B,B,C,B+,-,-,-,-
한국주강,25890,2021,D,D,D,C,-,-,-,-
한국주철관공업,970,2021,C,C,C,B,-,-,-,-
한국철강,104700,2021,B,B,B,B+,-,-,-,5
한국카본,17960,2021,B,B,B+,B,-,-,-,1
한국콜마,161890,2021,B+,B+,A,B+,B+,-,-,3
한국콜마홀딩스,24720,2021,B+,B,B+,A,-,-,-,6
한국타이어앤테크놀로지,161390,2021,B+,B+,A,B,A,-,BBB,78
한국토지신탁,34830,2021,C,D,C,C,-,-,-,2
한국특강,7280,2021,C,C,B,B,-,-,-,-
한국프랜지공업,10100,2021,B,B,B+,B,-,-,-,-
한국항공우주,47810,2021,A,A,A+,B+,A,-,BB,5
한국화장품,123690,2021,B,D,B,B,-,-,-,-
한국화장품제조,3350,2021,C,C,B,B,-,-,-,-
한농화성,11500,2021,C,C,B,B,-,-,-,-
한독,2390,2021,A,B+,A,A,-,-,-,12
한미글로벌,53690,2021,A,A,A,A,-,-,-,-
한미반도체,42700,2021,C,D,D,B,-,-,-,4
한미사이언스,8930,2021,A,B+,A+,A,A,-,-,8
한미약품,128940,2021,A,B+,A+,A,A,-,BB,19
한샘,9240,2021,A,B+,A+,A,A+,-,-,19
한섬,20000,2021,A,A,A+,A,A+,-,-,4
한성기업,3680,2021,C,D,B,B,-,-,-,-
한세실업,105630,2021,B,B,B,B+,B+,-,-,10
한세엠케이,69640,2021,C,D,C,B+,-,-,-,-
한세예스24홀딩스,16450,2021,B,D,B,B+,-,-,-,-
한솔로지스틱스,9180,2021,B+,B,B+,B+,-,-,-,-
한솔제지,213500,2021,A,A,A,A,-,-,-,-
한솔케미칼,14680,2021,A,A,A,A,A,-,-,14
한솔테크닉스,4710,2021,A,B+,A,A,-,-,-,6
한솔피엔에스,10420,2021,A,B+,B+,A,-,-,-,-
한솔홀딩스,4150,2021,A,B+,A,A,-,-,-,10
한솔홈데코,25750,2021,A,B+,A,A,-,-,-,-
한신공영,4960,2021,C,C,C,B,-,-,-,5
한신기계공업,11700,2021,C,D,C,B+,-,-,-,-
한양증권,1750,2021,C,D,B+,C,-,-,-,-
한온시스템,18880,2021,B+,B+,B+,B+,A,-,BB,42
한올바이오파마,9420,2021,B,D,B,B+,B,-,-,7
한익스프레스,14130,2021,C,B,B,C,-,-,-,-
한일시멘트,300720,2021,B+,B+,B+,B,-,-,-,-
한일철강,2220,2021,C,D,C,B,-,-,-,-
한일현대시멘트,6390,2021,B+,B+,B+,B+,-,-,-,-
한일홀딩스,3300,2021,B,B+,B+,B,-,-,-,-
한전KPS,51600,2021,B,B,B,B+,A,-,-,44
한전기술,52690,2021,B+,B,B+,B+,A,-,-,6
한전산업,130660,2021,B+,B,B+,B+,-,-,-,-
한진,2320,2021,A,A,B+,A,-,-,-,5
한진중공업홀딩스,3480,2021,B,D,C,B+,-,-,-,-
한진칼,180640,2021,A,A,A,A,A,-,-,2
한창,5110,2021,B,D,B,B,-,-,-,-
한창제지,9460,2021,C,C,C,B,-,-,-,-
한화,880,2021,A,A,A+,A,A,-,BBB,10
한화생명,88350,2021,A,A+,A+,B+,A,-,B,29
한화손해보험,370,2021,A,A,A+,B+,-,-,-,4
한화솔루션,9830,2021,A,A,A+,B+,A,-,BB,14
한화시스템,272210,2021,A,B+,A,A,S,-,-,24
한화에어로스페이스,12450,2021,A,A,A,A,A+,-,-,13
한화투자증권,3530,2021,B+,B+,A,B+,-,-,-,12
해성디에스,195870,2021,A,A,A+,A,-,-,-,-
해태제과식품,101530,2021,B,D,B+,B+,-,-,-,-
핸즈코퍼레이션,143210,2021,B,B,B,B+,-,-,-,-
현대건설,720,2021,A,A,A,A,A,-,BB,75
현대건설기계,267270,2021,A,B+,A+,A,-,-,-,26
현대그린푸드,5440,2021,A,A,A+,A,A,-,-,4
현대글로비스,86280,2021,A,A,A+,A,A+,-,BB,75
현대두산인프라코어,42670,2021,A,A,A+,A,A+,-,-,52
현대로템,64350,2021,A,A,A+,A,A+,-,-,24
현대리바트,79430,2021,A,A,A+,A,-,-,-,7
현대모비스,12330,2021,A,A,A+,A,A+,-,CCC,76
현대미포조선,10620,2021,A,A,A+,A,A+,-,-,15
현대백화점,69960,2021,A,A,A+,A,A+,-,CCC,9
현대비앤지스틸,4560,2021,A,B+,A+,B+,-,-,-,-
현대약품,4310,2021,B,C,B,B+,-,-,-,-
현대에너지솔루션,322000,2021,A,A,A+,B+,-,-,-,-
현대엘리베이터,17800,2021,A,B+,A,A,A,-,-,17
현대오토에버,307950,2021,A,A,A+,A,-,-,-,27
현대위아,11210,2021,A,A,A+,A,A+,-,-,44
현대일렉트릭,267260,2021,A,A,A+,A,-,-,-,23
현대자동차,5380,2021,A,A,A,A,B+,-,B,78
현대제철,4020,2021,B+,B+,B+,A,A,-,CCC,77
현대중공업,329180,2021,-,-,-,-,B,-,-,-
현대차증권,1500,2021,A,B+,A+,A,-,-,-,5
현대코퍼레이션,11760,2021,B+,B+,A,B+,-,-,-,9
현대코퍼레이션홀딩스,227840,2021,B+,C,A,B+,-,-,-,-
현대퓨처넷,126560,2021,B+,C,A,A,-,-,-,-
현대해상,1450,2021,A,A,A+,A,A,-,A,26
현대홈쇼핑,57050,2021,A,A,A+,A,A+,-,-,7
형지엘리트,93240,2021,C,D,B,B,-,-,-,-
혜인,3010,2021,B,B,B,B,-,-,-,-
호전실업,111110,2021,C,D,C,B+,-,-,-,-
호텔신라,8770,2021,A,B+,A+,A,B+,-,B,4
화성산업,2460,2021,B,C,B+,B+,-,-,-,6
화승엔터프라이즈,241590,2021,B+,B,B+,A,B+,-,-,-
화승인더스트리,6060,2021,B+,B,B+,A,-,-,-,-
화승코퍼레이션,13520,2021,B+,B+,B,B+,-,-,-,-
화신,10690,2021,B+,B+,A,B+,-,-,-,-
화인베스틸,133820,2021,B,B,C,B,-,-,-,-
화천기계,10660,2021,C,D,C,B,-,-,-,-
화천기공,850,2021,B,D,B,B+,-,-,-,-
환인제약,16580,2021,B,D,B,B+,-,-,-,8
황금에스티,32560,2021,C,D,C,B,-,-,-,-
효성,4800,2021,A,A,A+,B+,A,-,-,27
효성 ITX,94280,2021,B+,C,B+,B+,-,-,-,-
효성중공업,298040,2021,A,A,A+,A,-,-,-,19
효성첨단소재,298050,2021,A,A,A+,A,S,-,-,22
효성티앤씨,298020,2021,A,A,A+,A,S,-,-,24
효성화학,298000,2021,A,A,A+,A,-,-,-,23
후성,93370,2021,B+,A,B,B,A,-,-,5
휠라홀딩스,81660,2021,A,B+,A+,A,S,-,BB,34
휴니드테크놀러지스,5870,2021,B,C,B+,B+,-,-,-,-
휴비스,79980,2021,A,B+,A+,A,-,-,-,5
휴스틸,5010,2021,C,C,C,B,-,-,-,-
흥국화재,540,2021,B+,B,A,B,-,-,-,-
흥아해운,3280,2021,D,D,C,D,-,-,-,-
AJ네트웍스,95570,2020,B,D,B,B,-,-,-,-
AK홀딩스,6840,2020,B+,C,B+,B+,-,-,-,-
BGF,27410,2020,B+,B,A,B+,-,-,-,-
BGF리테일,282330,2020,A,B+,B+,A,-,-,BB,-
BNK금융지주,138930,2020,A+,B+,A+,A+,-,-,A,-
BYC,1460,2020,B,D,B,B+,-,-,-,-
CJ,1040,2020,A,B,A,A,-,-,BBB,-
CJ CGV,79160,2020,A,B,A,A,-,-,-,-
CJ대한통운,120,2020,A,A,B,A,-,-,-,-
CJ씨푸드,11150,2020,B,C,B+,B+,-,-,-,-
CJ제일제당,,2020,A,A,A+,A,-,-,A,-
CS홀딩스,,2020,C,D,C,B,-,-,-,-
DB,,2020,B,D,B,B,-,-,-,-
DB금융투자,,2020,B,D,A,B,-,-,-,-
DB손해보험,,2020,B+,A,A,B+,-,-,BBB,-
DB하이텍,,2020,B+,B+,A,B+,-,-,-,-
DGB금융지주,,2020,A+,A,A+,A+,-,-,-,-
DL,,2020,B+,A,B+,B+,-,-,B,-
DL건설,,2020,B,B,B+,B,-,-,-,-
DL이앤씨,,2020,-,-,-,-,-,-,-,-
DN오토모티브,,2020,B,B,C,B,-,-,-,-
DRB동일,,2020,B,B,B,B,-,-,-,-
DSR,,2020,C,B,B,C,-,-,-,-
DSR제강,,2020,C,C,B,C,-,-,-,-
E1,,2020,B,C,A,B+,-,-,-,-
ESR켄달스퀘어리츠,,2020,-,-,-,-,-,-,-,-
F&F,,2020,-,-,-,-,-,-,-,-
F&F 홀딩스,,2020,D,D,C,C,-,-,-,-
GKL,,2020,B+,C,A,A,-,-,-,-
GS,,2020,B+,C,A,A,-,-,BBB,-
GS건설,,2020,A,A,B+,A,-,-,BBB,-
GS글로벌,,2020,B,D,B+,B+,-,-,-,-
GS리테일,,2020,B,C,B,B+,-,-,BB,-
HDC,,2020,B+,C,B+,B+,-,-,-,-
HDC랩스,,2020,C,D,C,B,-,-,-,-
HDC현대EP,,2020,B,B,B+,B,-,-,-,-
HDC현대산업개발,,2020,C,C,C,B+,-,-,B,-
HD현대,,2020,A,B+,A,A,-,-,BB,-
HJ중공업,,2020,B,B,B,B+,-,-,-,-
HL D&I,,2020,B+,B,B+,B+,-,-,-,-
HLB글로벌,,2020,C,D,B,C,-,-,-,-
HL만도,,2020,A,A,A+,A,-,-,-,-
HL홀딩스,,2020,B+,B,B+,A,-,-,-,-
HMM,,2020,A,A,A+,A,-,-,-,-
HSD엔진,,2020,A,B+,A,A,-,-,-,-
JB금융지주,,2020,A+,A,A,A+,-,-,-,-
JW생명과학,,2020,B+,B+,B+,B+,-,-,-,-
JW중외제약,,2020,B,B,B+,B,-,-,-,-
JW홀딩스,,2020,B+,C,B+,B+,-,-,-,-
KB금융,,2020,A+,A+,A+,A+,-,-,A,-
KC그린홀딩스,,2020,B,B,B+,B,-,-,-,-
KC코트렐,,2020,B,B,B,B,-,-,-,-
KEC,,2020,B,B+,B+,C,-,-,-,-
KG스틸,,2020,B,B,B+,B,-,-,-,-
KG케미칼,,2020,D,C,C,D,-,-,-,-
KH 필룩스,,2020,C,C,B,B,-,-,-,-
KISCO홀딩스,,2020,C,B,B,C,-,-,-,-
KPX케미칼,,2020,B,B,C,B,-,-,-,-
KPX홀딩스,,2020,C,C,C,B,-,-,-,-
KR모터스,,2020,C,D,C,B,-,-,-,-
KSS해운,,2020,B+,B,B+,B+,-,-,-,-
KTcs,,2020,B,D,B+,B+,-,-,-,-
KTis,,2020,B,D,B+,B+,-,-,-,-
LF,,2020,B,D,B,B+,-,-,-,-
LG,,2020,A,B+,A+,B+,-,-,BBB,-
LG디스플레이,,2020,B+,B,A,B+,-,-,A,-
LG생활건강,,2020,A,A,A+,A,-,-,A,-
LG에너지솔루션,,2020,-,-,-,-,-,-,-,-
LG유플러스,,2020,B,B+,B+,B,-,-,BB,-
LG이노텍,,2020,A,A,A+,B+,-,-,BBB,-
LG전자,,2020,B+,A,A+,B,-,-,A,-
LG헬로비전,,2020,B+,D,B+,A,-,-,-,-
LG화학,,2020,B,C,A,B+,-,-,BB,-
LIG넥스원,,2020,A,B+,A,A,-,-,-,-
LS,,2020,B+,B,B+,A,-,-,-,-
LS네트웍스,,2020,B,D,B+,B,-,-,-,-
LS전선아시아,,2020,B,D,C,B+,-,-,-,-
LX세미콘,,2020,B,C,B+,B+,-,-,-,-
LX인터내셔널,,2020,A,A,A+,A,-,-,-,-
LX하우시스,,2020,A,A,A+,A,-,-,-,-
LX홀딩스,,2020,-,-,-,-,-,-,-,-
MH에탄올,,2020,B,C,B,B+,-,-,-,-
NAVER,,2020,A,B+,B+,A+,-,-,A,-
NH투자증권,,2020,B+,B,A+,B+,-,-,BB,-
NICE,,2020,B,D,B,B+,-,-,-,-
NI스틸,,2020,C,D,C,B,-,-,-,-
OCI,,2020,A,A,A+,A,-,-,BB,-
PI첨단소재,,2020,B,C,B,B+,-,-,-,-
POSCO홀딩스,,2020,A,A,B,A+,-,-,BBB,-
S-Oil,,2020,A+,A,A+,A+,-,-,BB,-
SBS,,2020,B,C,B,B+,-,-,-,-
SGC에너지,,2020,C,C,B,C,-,-,-,-
SG글로벌,,2020,D,C,C,D,-,-,-,-
SG세계물산,,2020,C,D,B,C,-,-,-,-
SHD,,2020,D,D,C,D,-,-,-,-
SH에너지화학,,2020,C,C,C,B+,-,-,-,-
SIMPAC,,2020,C,C,B,C,-,-,-,-
SK,,2020,A+,A,A+,A+,-,-,AA,-
SKC,,2020,B+,B+,A+,B,-,-,-,-
SK가스,,2020,A,B+,A+,A,-,-,-,-
SK네트웍스,,2020,A,B+,A+,A,-,-,-,-
SK디스커버리,,2020,A,B,A,A,-,-,-,-
SK디앤디,,2020,B,C,B,B+,-,-,-,-
SK렌터카,,2020,B,B,C,B,-,-,-,-
SK바이오사이언스,,2020,-,-,-,-,-,-,-,-
SK스퀘어,,2020,-,-,-,-,-,-,-,-
SK아이이테크놀로지,,2020,-,-,-,-,-,-,-,-
SK이노베이션,,2020,A,A,A,A,-,-,BBB,-
SK증권,,2020,B,D,A,B,-,-,-,-
SK케미칼,,2020,B+,B+,A,B+,-,-,B,-
SK텔레콤,,2020,A,A+,A,A,-,-,A,-
SK하이닉스,,2020,A,A,A+,A,-,-,BBB,-
SNT다이내믹스,,2020,B+,B+,B+,B+,-,-,-,-
SNT모티브,,2020,B+,B,B+,B+,-,-,-,-
SNT에너지,,2020,B+,B,B,B+,-,-,-,-
SNT홀딩스,,2020,B+,C,B+,B+,-,-,-,-
SPC삼립,,2020,B+,B,A,B,-,-,-,-
STX,,2020,B,C,B+,B,-,-,-,-
STX엔진,,2020,B+,B+,B+,B,-,-,-,-
STX중공업,,2020,B,C,B+,B+,-,-,-,-
SUN&L,,2020,B+,B,B,B+,-,-,-,-
TCC스틸,,2020,C,B,B,C,-,-,-,-
TYM,,2020,B+,B,B+,B+,-,-,-,-
WISCOM,,2020,C,C,C,B+,-,-,-,-
YG PLUS,,2020,B,D,B,B,-,-,-,-
가온전선,,2020,B+,B,B+,B+,-,-,-,-
강남제비스코,,2020,B,B,C,B,-,-,-,-
강원랜드,,2020,A,B,A,A,-,-,BBB,-
갤럭시아에스엠,,2020,C,D,C,C,-,-,-,-
경농,,2020,C,B,B+,C,-,-,-,-
경동나비엔,,2020,B+,B,B+,B+,-,-,-,-
경동도시가스,,2020,B+,B,A,B+,-,-,-,-
경동인베스트,,2020,B,C,B,B+,-,-,-,-
경방,,2020,C,C,B,B,-,-,-,-
경보제약,,2020,B,B,B,B,-,-,-,-
경인양행,,2020,B,B,C,B,-,-,-,-
경인전자,,2020,C,D,C,B,-,-,-,-
계룡건설산업,,2020,B,B,B,B+,-,-,-,-
계양전기,,2020,B,B,B+,B,-,-,-,-
고려산업,,2020,C,C,C,C,-,-,-,-
고려아연,,2020,B,B+,C,B+,-,-,B,-
고려제강,,2020,B,B+,B+,C,-,-,-,-
광동제약,,2020,B,C,B+,B+,-,-,-,-
광명전기,,2020,C,C,C,C,-,-,-,-
광전자,,2020,B,C,B,B+,-,-,-,-
광주신세계,,2020,B+,C,A,B+,-,-,-,-
교보증권,,2020,B,D,B+,B,-,-,-,-
교촌에프앤비,,2020,-,-,-,-,-,-,-,-
국도화학,,2020,B,B,B,B,-,-,-,-
국동,,2020,B,D,C,B+,-,-,-,-
국보,,2020,C,B,C,C,-,-,-,-
국제약품,,2020,C,D,B,C,-,-,-,-
그린케미칼,,2020,B,B,B,B,-,-,-,-
극동유화,,2020,B,B,C,B,-,-,-,-
금강공업,,2020,C,C,B,B,-,-,-,-
금비,,2020,C,C,B,C,-,-,-,-
금양,,2020,D,D,C,C,-,-,-,-
금호건설,,2020,C,B,B+,C,-,-,-,-
