,종목명,2016_E,2016_S,2016_G,2017_E,2017_S,2017_G,Diff_E,Diff_S,Diff_G,업종명,2016_종가,2017_종가,등락률,연도
444,한국전자홀딩스,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,기타금융,942,873,-0.0732484076433121,"16,17년"
445,한국종합기술,3.0,1.5,1.5,3.0,1.5,1.5,0.0,0.0,0.0,서비스업,5920,6230,0.052364864864864864,"16,17년"
446,한국주강,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,기계,3450,2330,-0.32463768115942027,"16,17년"
447,한국철강,1.0,3.0,3.0,2.0,3.0,3.0,1.0,0.0,0.0,철강금속,37600,37850,0.006648936170212766,"16,17년"
448,한국카본,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,기계,6100,5860,-0.03934426229508197,"16,17년"
449,한국콜마,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,화학,81500,82800,0.015950920245398775,"16,17년"
450,한국콜마홀딩스,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,기타금융,29300,45100,0.5392491467576792,"16,17년"
451,한국항공우주,2.0,1.5,3.0,2.0,1.5,3.0,0.0,0.0,0.0,운수장비,64800,56800,-0.12345679012345678,"16,17년"
452,한국화장품,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,유통업,14450,17800,0.23183391003460208,"16,17년"
453,한국화장품제조,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,화학,30200,39650,0.3129139072847682,"16,17년"
454,한농화성,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,화학,5210,4025,-0.22744721689059502,"16,17년"
455,한독,2.0,3.0,3.0,3.0,1.5,3.0,1.0,-1.5,0.0,의약품,22700,24500,0.07929515418502203,"16,17년"
456,한미글로벌,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,서비스업,8990,9590,0.06674082313681869,"16,17년"
457,한미반도체,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,기계,13850,10050,-0.2743682310469314,"16,17년"
458,한미사이언스,1.0,1.5,1.5,,1.5,1.5,,0.0,0.0,기타금융,76100,91800,0.20630749014454666,"16,17년"
459,한미약품,,3.0,1.5,1.0,3.0,1.5,,0.0,0.0,의약품,362000,463500,0.2803867403314917,"16,17년"
460,한샘,3.0,1.5,1.5,1.0,1.5,1.5,-2.0,0.0,0.0,유통업,177500,170500,-0.03943661971830986,"16,17년"
461,한섬,3.0,1.5,1.5,2.0,1.5,1.5,-1.0,0.0,0.0,섬유의복,40600,30000,-0.26108374384236455,"16,17년"
462,한성기업,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,음식료품,8200,6980,-0.14878048780487804,"16,17년"
463,한세실업,3.0,1.5,1.5,3.0,1.5,1.5,0.0,0.0,0.0,섬유의복,25300,26050,0.029644268774703556,"16,17년"
