,업종명,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,평가연도,현금흐름(CF),PBR,ESG,E,S,G,배당지급(DV)
조선내화,비금속광물,903697171000.0,50.29,66.54,-14.93,2015,0.11010494424403194,0.975,B이하,C,B이하,B이하,13000000000.0
조선선재,기계,89007793000.0,18.26,84.56,-6.48,2015,0.2747689420206832,1.28,B이하,C,B이하,B이하,0.0
조일알미늄,철강금속,275509948000.0,66.97,59.89,-12.06,2015,0.060714488610231106,0.85,B이하,B,B이하,B+,1044000000.0
조흥,음식료품,148992933000.0,39.55,71.66,0.38,2015,0.031581782349718084,1.215,B이하,B,B이하,B이하,1500000000.0
종근당,의약품,576286704000.0,83.2,54.58,8.89,2015,0.012273547535582699,2.715,B이하,B,B이하,B이하,5642000000.0
종근당바이오,의약품,170642857000.0,33.97,74.64,0.28,2015,0.13439692195217967,1.2650000000000001,B이하,B,B이하,B이하,1795000000.0
종근당홀딩스,서비스업,501005739000.0,31.41,76.1,22.29,2015,0.5820838992642897,1.79,B이하,C,B이하,B이하,5032000000.0
주연테크,전기전자,28466994000.0,43.59,69.64,21.48,2015,0.020732561716526956,2.315,B이하,C,B이하,B이하,0.0
지엠비코리아,운수장비,459399994000.0,114.37,46.65,1.77,2015,0.03197311134980308,0.56,B이하,B+,B이하,B이하,2289000000.0
지투알,서비스업,482838658000.0,257.86,27.94,24.3,2015,0.8470835898650249,1.74,B이하,B+,B이하,B이하,3242000000.0
진도,유통업,150834580000.0,69.54,58.98,0.65,2015,0.11294192087057144,0.715,B이하,C,B이하,B이하,1870000000.0
진양산업,화학,43050956000.0,17.88,84.83,13.68,2015,0.18728157464880757,1.2149999999999999,B이하,B,B이하,B이하,1950000000.0
진양홀딩스,서비스업,536626201000.0,45.72,68.63,-4.63,2015,1.4263483995631354,1.335,B이하,B,B이하,B이하,5480000000.0
진양화학,화학,42532149000.0,40.86,70.99,-10.75,2015,0.03248127692633661,1.9849999999999999,B이하,B,B이하,B이하,1200000000.0
진원생명과학,유통업,47691247000.0,20.92,82.7,15.19,2015,0.032269347150259066,5.045,B이하,C,B이하,B이하,0.0
진흥기업,건설업,530471940000.0,705.13,12.42,14.06,2015,0.13768154751272968,6.14,B이하,C,B이하,B+,0.0
참엔지니어링,기계,643323602000.0,2458.97,3.91,47.0,2015,0.2728014102335117,2.32,B이하,C,B이하,B이하,0.0
천일고속,운수창고업,63067608000.0,28.23,77.98,-2.15,2015,0.0569562875879175,3.41,B이하,B,B이하,B이하,8562000000.0
카프로,화학,437356251000.0,68.07,59.5,-45.1,2015,-0.016734976973531192,0.55,B이하,C,B이하,B+,0.0
코리아써키트,전기전자,526992026000.0,32.15,75.67,2.02,2015,0.12858613190180207,0.915,B이하,B,B이하,B+,2756000000.0
코스맥스비티아이,서비스업,544562916000.0,67.35,59.76,47.06,2015,1.655382521986012,2.895,B이하,B,B이하,B이하,1243000000.0
코스모신소재,화학,222555116000.0,357.42,21.86,-10.66,2015,0.07560515349562298,0.99,B이하,C,B+,B+,0.0
코스모화학,화학,630470683000.0,308.3,24.49,-11.29,2015,-0.01711800196436088,0.645,B이하,C,B이하,B+,0.0
코아스,기타제조업,89438043000.0,190.4,34.43,-2.35,2015,0.11376875111348655,2.805,B이하,B,B이하,B이하,0.0
코오롱,서비스업,3291820462000.0,308.67,24.47,-7.7,2015,4.112955290176946,1.53,B이하,B,B이하,B이하,6623000000.0
코오롱글로벌,건설업,1979654412000.0,352.37,22.11,-9.93,2015,0.06255078844934915,0.9950000000000001,B이하,B,B이하,B이하,7620000000.0
코오롱플라스틱,화학,208616752000.0,113.93,46.74,2.1,2015,0.09701782654236513,2.1950000000000003,B+,B+,B+,B+,2175000000.0
