,업종명,종목명,2021_E,2021_S,2021_G,2022_E,2022_S,2022_G,Diff_E,Diff_S,Diff_G,2021_종가,2022_종가,등락률,연도
75,금융 및 보험업,샘표,3.0,4.0,3.0,1.0,2.0,2.0,-2.0,-2.0,-1.0,44000,49850,0.1329545454545454,"21,22년"
76,금융 및 보험업,서연,4.0,5.0,4.0,3.0,5.0,3.0,-1.0,0.0,-1.0,15650,5220,-0.6664536741214058,"21,22년"
77,금융 및 보험업,세아제강지주,4.0,4.0,4.0,3.0,4.0,3.0,-1.0,0.0,-1.0,125500,135500,0.0796812749003984,"21,22년"
78,금융 및 보험업,신영증권,1.0,2.0,4.0,2.0,4.0,4.0,1.0,2.0,0.0,62700,55300,-0.1180223285486443,"21,22년"
79,금융 및 보험업,신한지주,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,38250,36300,-0.0509803921568627,"21,22년"
80,금융 및 보험업,에이플러스에셋,,,,1.0,1.0,2.0,,,,10450,5480,-0.4755980861244019,"21,22년"
81,금융 및 보험업,영원무역홀딩스,4.0,4.0,5.0,2.0,4.0,2.0,-2.0,0.0,-3.0,47000,54100,0.151063829787234,"21,22년"
82,금융 및 보험업,오리온홀딩스,5.0,5.0,5.0,4.0,5.0,5.0,-1.0,0.0,0.0,16000,14300,-0.10625,"21,22년"
83,금융 및 보험업,우리금융지주,6.0,6.0,5.0,5.0,6.0,4.0,-1.0,0.0,-1.0,13250,11750,-0.1132075471698113,"21,22년"
84,금융 및 보험업,유안타증권,1.0,2.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,4490,2405,-0.4643652561247216,"21,22년"
85,금융 및 보험업,유화증권,1.0,2.0,2.0,1.0,1.0,2.0,0.0,-1.0,0.0,2770,2285,-0.1750902527075812,"21,22년"
86,금융 및 보험업,일진홀딩스,2.0,2.0,3.0,1.0,2.0,3.0,-1.0,0.0,0.0,6680,4015,-0.3989520958083832,"21,22년"
87,금융 및 보험업,제주은행,3.0,6.0,5.0,5.0,5.0,4.0,2.0,-1.0,-1.0,6300,7650,0.2142857142857142,"21,22년"
89,금융 및 보험업,코리안리,3.0,4.0,5.0,2.0,4.0,4.0,-1.0,0.0,-1.0,9660,7350,-0.2391304347826087,"21,22년"
90,금융 및 보험업,코스맥스비티아이,5.0,5.0,4.0,4.0,5.0,3.0,-1.0,0.0,-1.0,17450,7640,-0.5621776504297994,"21,22년"
91,금융 및 보험업,코오롱,3.0,4.0,3.0,2.0,5.0,2.0,-1.0,1.0,-1.0,35300,22600,-0.3597733711048159,"21,22년"
92,금융 및 보험업,쿠쿠홀딩스,1.0,2.0,4.0,1.0,1.0,3.0,0.0,-1.0,-1.0,22500,16250,-0.2777777777777778,"21,22년"
93,금융 및 보험업,크라운해태홀딩스,2.0,4.0,3.0,2.0,3.0,2.0,0.0,-1.0,-1.0,8870,6090,-0.3134160090191657,"21,22년"
94,금융 및 보험업,키움증권,2.0,5.0,3.0,3.0,2.0,3.0,1.0,-3.0,0.0,105000,80800,-0.2304761904761904,"21,22년"
95,금융 및 보험업,티와이홀딩스,,,,4.0,3.0,4.0,,,,27150,10550,-0.6114180478821363,"21,22년"
96,금융 및 보험업,풍산홀딩스,1.0,5.0,4.0,2.0,4.0,4.0,1.0,-1.0,0.0,28500,25500,-0.1052631578947368,"21,22년"
97,금융 및 보험업,하나금융지주,5.0,6.0,5.0,6.0,6.0,5.0,1.0,0.0,0.0,45000,41250,-0.0833333333333333,"21,22년"
98,금융 및 보험업,하이트진로홀딩스,4.0,5.0,3.0,3.0,4.0,3.0,-1.0,-1.0,0.0,14850,10100,-0.3198653198653198,"21,22년"
99,금융 및 보험업,한국금융지주,2.0,5.0,4.0,1.0,4.0,4.0,-1.0,-1.0,0.0,87000,49550,-0.4304597701149425,"21,22년"
100,금융 및 보험업,한국앤컴퍼니,4.0,6.0,4.0,2.0,3.0,4.0,-2.0,-3.0,0.0,16700,12850,-0.2305389221556886,"21,22년"
101,금융 및 보험업,한국자산신탁,2.0,4.0,2.0,2.0,1.0,3.0,0.0,-3.0,1.0,4410,2900,-0.3424036281179138,"21,22년"
102,금융 및 보험업,한국전자홀딩스,3.0,4.0,3.0,2.0,1.0,1.0,-1.0,-3.0,-2.0,1635,1200,-0.2660550458715596,"21,22년"
103,금융 및 보험업,한국콜마홀딩스,3.0,4.0,5.0,4.0,4.0,4.0,1.0,0.0,-1.0,23050,13800,-0.4013015184381778,"21,22년"
104,금융 및 보험업,한국토지신탁,1.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,2340,1365,-0.4166666666666667,"21,22년"
105,금융 및 보험업,한미사이언스,4.0,6.0,5.0,3.0,6.0,3.0,-1.0,0.0,-2.0,57000,32050,-0.437719298245614,"21,22년"
106,금융 및 보험업,한솔홀딩스,4.0,5.0,5.0,4.0,5.0,5.0,0.0,0.0,0.0,3790,3160,-0.1662269129287599,"21,22년"
107,금융 및 보험업,한양증권,1.0,4.0,2.0,1.0,1.0,2.0,0.0,-3.0,0.0,17800,8680,-0.5123595505617977,"21,22년"
108,금융 및 보험업,한화생명,6.0,6.0,4.0,5.0,6.0,4.0,-1.0,0.0,0.0,3475,2185,-0.3712230215827338,"21,22년"
109,금융 및 보험업,한화손해보험,5.0,6.0,4.0,5.0,5.0,5.0,0.0,-1.0,1.0,4515,3680,-0.1849390919158361,"21,22년"
110,금융 및 보험업,한화투자증권,4.0,5.0,4.0,4.0,5.0,4.0,0.0,0.0,0.0,5540,2460,-0.555956678700361,"21,22년"
111,금융 및 보험업,현대차증권,4.0,6.0,5.0,4.0,6.0,4.0,0.0,0.0,-1.0,12650,9220,-0.2711462450592885,"21,22년"
112,금융 및 보험업,현대해상,5.0,6.0,5.0,5.0,5.0,4.0,0.0,-1.0,-1.0,26250,33300,0.2685714285714285,"21,22년"
113,서비스업,AJ네트웍스,1.0,3.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0,5590,5870,0.0500894454382826,"21,22년"
114,서비스업,CJ CGV,3.0,6.0,4.0,3.0,4.0,4.0,0.0,-2.0,0.0,31950,13500,-0.5774647887323944,"21,22년"
115,서비스업,DB,1.0,4.0,4.0,1.0,3.0,4.0,0.0,-1.0,0.0,1020,754,-0.2607843137254902,"21,22년"
116,서비스업,GKL,4.0,4.0,4.0,3.0,5.0,5.0,-1.0,1.0,1.0,16350,14200,-0.1314984709480122,"21,22년"
117,서비스업,KTcs,4.0,5.0,5.0,4.0,5.0,5.0,0.0,0.0,0.0,2670,2160,-0.1910112359550561,"21,22년"
118,서비스업,KTis,4.0,6.0,5.0,4.0,4.0,4.0,0.0,-2.0,-1.0,2540,2450,-0.0354330708661417,"21,22년"
119,서비스업,LG헬로비전,2.0,5.0,5.0,3.0,5.0,5.0,1.0,0.0,0.0,6910,4545,-0.3422575976845152,"21,22년"
120,서비스업,NAVER,5.0,5.0,6.0,5.0,5.0,5.0,0.0,0.0,-1.0,407000,169500,-0.5835380835380836,"21,22년"
121,서비스업,NICE,3.0,5.0,4.0,2.0,4.0,4.0,-1.0,-1.0,0.0,16900,12350,-0.2692307692307692,"21,22년"
122,서비스업,SBS,1.0,4.0,4.0,1.0,1.0,4.0,0.0,-3.0,0.0,54100,28450,-0.4741219963031423,"21,22년"
123,서비스업,SK디앤디,5.0,6.0,5.0,5.0,5.0,5.0,0.0,-1.0,0.0,31550,20600,-0.347068145800317,"21,22년"
124,서비스업,SK렌터카,4.0,6.0,4.0,5.0,5.0,4.0,1.0,-1.0,0.0,12100,6510,-0.4619834710743801,"21,22년"
125,서비스업,YG PLUS,1.0,2.0,3.0,1.0,1.0,1.0,0.0,-1.0,-2.0,7630,4000,-0.4757536041939711,"21,22년"
126,서비스업,강원랜드,4.0,5.0,5.0,4.0,6.0,5.0,0.0,1.0,0.0,27800,23000,-0.1726618705035971,"21,22년"
127,서비스업,갤럭시아에스엠,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,-2.0,2415,1825,-0.2443064182194617,"21,22년"
