회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),배당금(*)(IFRS)(천원),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),PER(최저)(IFRS),PBR(최고)(IFRS),매출액(요약)(백만원)
(주)포스코퓨처엠,003670,2022/12,4637476140,23222156,74.96,57.16,65.96,-60953571,64.81,7.8,3041287
(주)풀무원,017810,2022/12,2049217755,3750626,274.87,26.68,12.68,94837568,51.72,1.64,123375
(주)풍산,103140,2022/12,3395297192,27314000,84.3,54.26,24.6,136558056,3.72,0.56,3257164
(주)풍산홀딩스,005810,2022/12,1142781392,12463786,18.48,84.4,-20.52,3474290,14.68,0.81,142129
(주)플레이그램,009810,2022/12,303643330,0,65.43,60.45,221.57,-10546352,36.33,3.56,51608
(주)하나금융지주,086790,2022/12,568873199000,743487000,1420.28,6.58,69.98,25063802000,8.61,0.88,1381577
(주)하나투어,039130,2022/12,455429440,0,356.79,21.89,185.58,-10240866,0,10.44,66269
(주)하이브,352820,2022/12,4870434315,0,66.3,60.13,41.42,347125164,87.66,6.15,559814
(주)하이스틸,071090,2022/12,292456090,403671,96.34,50.93,39.91,515849,6.94,1.07,302740
(주)하이트론씨스템즈,019490,2022/12,,0,,,,,0,3.34,10765
(주)한국전자홀딩스,006200,2022/12,469100261,2192794,35.84,73.62,-2.17,4010040,3.38,0.75,18791
(주)한국종합기술,023350,2022/12,,1040391,,,,,16,0.81,283703
(주)한국카본,017960,2022/12,585333635,5592881,44.82,69.05,0.39,-7798849,201.16,1.81,340208
(주)한국토지신탁,034830,2022/12,1718070656,20438465,67.63,59.66,-5.61,59890726,7.93,0.78,188244
(주)한국특강,007280,2022/12,,0,,,,,2.76,1.18,795940
(주)한국화장품제조,003350,2022/12,,362501,,,,,19.61,4.08,103877
(주)한농화성,011500,2022/12,,1835282,,,,,17.88,2.02,239433
(주)한독,002390,2022/12,871106170,5505413,128.12,43.84,5.05,30519189,10.73,0.89,536574
(주)한미글로벌건축사사무소,053690,2022/12,373059660,5594353,91.66,52.18,38.62,21232660,7.22,3.8,174398
(주)한샘,009240,2022/12,1099679541,0,146.88,40.51,-10.32,-21278606,0,5.27,1539820
(주)한섬,020000,2022/12,1684715499,16477196,26.05,79.33,11.16,67223509,4.68,0.79,1537082
(주)한솔케미칼,014680,2022/12,1253310603,22844462,47.02,68.02,15.19,173619763,15.48,5.58,637647
(주)한솔홈데코,025750,2022/12,319496521,0,108.25,48.02,7.66,3870232,13.38,0.92,281940
(주)한익스프레스,014130,2022/12,407946966,1534000,287.21,25.83,10.55,10715104,19.48,0.92,774803
(주)한진,002320,2022/12,4093197692,8681536,166.77,37.49,13.79,182433349,23.52,0.35,2424483
