회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),[공통]   배당금(*)(요약)(IFRS),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS),[공통]매출액(요약)
(주)케이티,030200,2015/12,29341185000,122425,141.18,41.46,-4.87,4229965000,1.01,0.86,16942357
(주)케이티스카이라이프,053210,2015/12,711294113,16647,44.15,69.37,1.25,157762637,2.68,1.64,626398
(주)케이티씨에스,058850,2015/12,346998300,4181,127.34,43.99,79.22,26124115,1.62,0.88,481741
(주)케이티아이에스,058860,2015/12,,3397,,,,,2.15,0.77,461098
(주)케이티앤지,033780,2015/12,8586509523,428284,37.72,72.61,0.8,1258912454,3.06,1.9,2821671
(주)코리아써키트,007810,2015/12,526992026,2756,32.15,75.67,2.02,61607416,1.21,0.62,479114
(주)코아스,071950,2015/12,89438043,0,190.4,34.43,-2.35,10855928,3.99,1.62,95421
(주)코오롱,002020,2015/12,3291820462,6623,308.67,24.47,-7.7,225932860,2.5,0.56,54932
(주)콤텍시스템,031820,2015/12,107817629,0,99.53,50.12,-21.4,-5092105,2.33,0.66,145314
(주)큐로,015590,2015/12,,0,,,,,1.77,0.98,223717
(주)크라운해태홀딩스,005740,2015/12,1121569714,3033,269.61,27.06,11.06,112594406,4.98,0.99,430980
(주)키다리스튜디오,020120,2015/12,42294543,298,39.39,71.74,0,-1452896,2.87,1.26,23289
(주)태경비케이,014580,2015/12,,2758,,,,,0.83,0.06,113507
(주)태영건설,009410,2015/12,3011325836,0,138.21,41.98,0.45,58846366,0.76,0.52,1002428
(주)토니모리,214420,2015/12,155576269,3528,32.95,75.22,0,-950776,7.86,3.36,219970
(주)티비에이치글로벌,084870,2015/12,587302248,0,122.47,44.95,14.96,-20246942,5.34,1.88,128501
(주)티에이치엔,019180,2015/12,197688214,848,801.75,11.09,20.43,4560653,0.75,0.36,240961
(주)티웨이홀딩스,004870,2015/12,146705005,0,238.05,29.58,22.3,33209616,8.51,3.24,21988
(주)팜스코,036580,2015/12,776145267,0,192.03,34.24,3.67,41281916,2.74,1.43,875142
(주)퍼시스,016800,2015/12,,6668,,,,,1.3,0.97,243625
(주)포스코인터내셔널,047050,2015/12,8043303770,56938,232.2,30.1,-14.12,1267623361,5.31,2.67,16881040
(주)풀무원,017810,2015/12,975950981,3799,195.43,33.85,10.03,106415037,3.52,1.31,64501
(주)풍산,103140,2015/12,2607569919,14006,138.57,41.92,-6.02,339636879,0.78,0.54,2040817
(주)풍산홀딩스,005810,2015/12,698530608,7790,19.05,84,-0.37,7072100,0.92,0.69,115421
(주)플레이그램,009810,2015/12,45800754,0,15.89,86.29,127.49,-8120533,2.35,0.67,26387
